交易发起日期	产品名称	产品代码	业务类型	申请数额	申请单位	确认数额	确认单位	链接
2018-07-27	华夏现金增利货币A/E	003003	红利再投资	-	-	2.45	份	https://query.1234567.com.cn/Query/Detail?id=20180727033032018072745762056&businType=143&traceNo=
2018-07-27	汇添富和聚宝货币	000600	红利再投资	-	-	2.72	份	https://query.1234567.com.cn/Query/Detail?id=201807274730300288039100&businType=143&traceNo=
2018-07-27	招商招钱宝货币A	000588	红利再投资	-	-	2.67	份	https://query.1234567.com.cn/Query/Detail?id=201807271720180727400001269450&businType=143&traceNo=
2018-07-27	富国富钱包货币	000638	红利再投资	-	-	2.57	份	https://query.1234567.com.cn/Query/Detail?id=201807271030300431361960&businType=143&traceNo=
2018-07-27	华安汇财通货币	000709	红利再投资	-	-	2.45	份	https://query.1234567.com.cn/Query/Detail?id=20180727041303462625206&businType=143&traceNo=
2018-07-26	华夏现金增利货币A/E	003003	红利再投资	-	-	2.37	份	https://query.1234567.com.cn/Query/Detail?id=20180726033032018072644642723&businType=143&traceNo=
2018-07-26	汇添富和聚宝货币	000600	红利再投资	-	-	2.76	份	https://query.1234567.com.cn/Query/Detail?id=201807264730300287489770&businType=143&traceNo=
2018-07-26	招商招钱宝货币A	000588	红利再投资	-	-	2.67	份	https://query.1234567.com.cn/Query/Detail?id=201807261720180726400001304619&businType=143&traceNo=
2018-07-26	富国富钱包货币	000638	红利再投资	-	-	2.60	份	https://query.1234567.com.cn/Query/Detail?id=201807261030300429419660&businType=143&traceNo=
2018-07-26	华安汇财通货币	000709	红利再投资	-	-	2.59	份	https://query.1234567.com.cn/Query/Detail?id=20180726041303461726168&businType=143&traceNo=
2018-07-25	汇添富和聚宝货币	000600	红利再投资	-	-	2.78	份	https://query.1234567.com.cn/Query/Detail?id=201807254730300286954640&businType=143&traceNo=
2018-07-25	华夏现金增利货币A/E	003003	红利再投资	-	-	2.40	份	https://query.1234567.com.cn/Query/Detail?id=20180725033032018072543539126&businType=143&traceNo=
2018-07-25	招商招钱宝货币A	000588	红利再投资	-	-	2.66	份	https://query.1234567.com.cn/Query/Detail?id=201807251720180725400001275460&businType=143&traceNo=
2018-07-25	富国富钱包货币	000638	红利再投资	-	-	2.61	份	https://query.1234567.com.cn/Query/Detail?id=201807251030300427485330&businType=143&traceNo=
2018-07-25	华安汇财通货币	000709	红利再投资	-	-	2.50	份	https://query.1234567.com.cn/Query/Detail?id=20180725041303460736343&businType=143&traceNo=
2018-07-24	汇添富和聚宝货币	000600	红利再投资	-	-	2.80	份	https://query.1234567.com.cn/Query/Detail?id=201807244730300286415500&businType=143&traceNo=
2018-07-24	华夏现金增利货币A/E	003003	红利再投资	-	-	2.21	份	https://query.1234567.com.cn/Query/Detail?id=20180724033032018072442397592&businType=143&traceNo=
2018-07-24	招商招钱宝货币A	000588	红利再投资	-	-	2.68	份	https://query.1234567.com.cn/Query/Detail?id=201807241720180724400001400259&businType=143&traceNo=
2018-07-24	富国富钱包货币	000638	红利再投资	-	-	2.73	份	https://query.1234567.com.cn/Query/Detail?id=201807241030300425717640&businType=143&traceNo=
2018-07-24	华安汇财通货币	000709	红利再投资	-	-	2.82	份	https://query.1234567.com.cn/Query/Detail?id=20180724041303459357691&businType=143&traceNo=
2018-07-23	华夏现金增利货币A/E	003003	红利再投资	-	-	7.02	份	https://query.1234567.com.cn/Query/Detail?id=20180723033032018072339325455&businType=143&traceNo=
2018-07-23	汇添富和聚宝货币	000600	红利再投资	-	-	9.01	份	https://query.1234567.com.cn/Query/Detail?id=201807234730300285839290&businType=143&traceNo=
2018-07-23	招商招钱宝货币A	000588	红利再投资	-	-	2.66	份	https://query.1234567.com.cn/Query/Detail?id=201807231720180723400001273831&businType=143&traceNo=
2018-07-23	招商招钱宝货币A	000588	红利再投资	-	-	2.66	份	https://query.1234567.com.cn/Query/Detail?id=201807231720180723400003591748&businType=143&traceNo=
2018-07-23	富国富钱包货币	000638	红利再投资	-	-	8.36	份	https://query.1234567.com.cn/Query/Detail?id=201807231030300423896440&businType=143&traceNo=
2018-07-23	华安汇财通货币	000709	红利再投资	-	-	7.51	份	https://query.1234567.com.cn/Query/Detail?id=20180723041303458297431&businType=143&traceNo=
2018-07-23	招商招钱宝货币A	000588	红利再投资	-	-	2.66	份	https://query.1234567.com.cn/Query/Detail?id=201807231720180723400002479873&businType=143&traceNo=
2018-07-20	汇添富和聚宝货币	000600	红利再投资	-	-	2.90	份	https://query.1234567.com.cn/Query/Detail?id=201807204730300285253080&businType=143&traceNo=
2018-07-20	华夏现金增利货币A/E	003003	红利再投资	-	-	2.25	份	https://query.1234567.com.cn/Query/Detail?id=20180720033032018072038187576&businType=143&traceNo=
2018-07-20	招商招钱宝货币A	000588	红利再投资	-	-	2.66	份	https://query.1234567.com.cn/Query/Detail?id=201807201720180720400001277444&businType=143&traceNo=
2018-07-20	富国富钱包货币	000638	红利再投资	-	-	2.85	份	https://query.1234567.com.cn/Query/Detail?id=201807201030300422484260&businType=143&traceNo=
2018-07-20	华安汇财通货币	000709	红利再投资	-	-	2.51	份	https://query.1234567.com.cn/Query/Detail?id=20180720041303456068031&businType=143&traceNo=
2018-07-19	华安汇财通货币	000709	红利再投资	-	-	2.56	份	https://query.1234567.com.cn/Query/Detail?id=20180719041303455148716&businType=143&traceNo=
2018-07-19	华夏现金增利货币A/E	003003	红利再投资	-	-	2.19	份	https://query.1234567.com.cn/Query/Detail?id=20180719033032018071937029467&businType=143&traceNo=
2018-07-19	招商招钱宝货币A	000588	红利再投资	-	-	2.67	份	https://query.1234567.com.cn/Query/Detail?id=201807191720180719400001349761&businType=143&traceNo=
2018-07-19	汇添富和聚宝货币	000600	红利再投资	-	-	2.89	份	https://query.1234567.com.cn/Query/Detail?id=201807194730300284698630&businType=143&traceNo=
2018-07-19	富国富钱包货币	000638	红利再投资	-	-	3.13	份	https://query.1234567.com.cn/Query/Detail?id=201807191030300421055350&businType=143&traceNo=
2018-07-18	汇添富和聚宝货币	000600	红利再投资	-	-	3.10	份	https://query.1234567.com.cn/Query/Detail?id=201807184730300284158860&businType=143&traceNo=
2018-07-18	华夏现金增利货币A/E	003003	红利再投资	-	-	2.22	份	https://query.1234567.com.cn/Query/Detail?id=20180718033032018071835868127&businType=143&traceNo=
2018-07-18	招商招钱宝货币A	000588	红利再投资	-	-	2.67	份	https://query.1234567.com.cn/Query/Detail?id=201807181720180718400001350932&businType=143&traceNo=
2018-07-18	富国富钱包货币	000638	红利再投资	-	-	2.71	份	https://query.1234567.com.cn/Query/Detail?id=201807181030300419678910&businType=143&traceNo=
2018-07-18	华安汇财通货币	000709	红利再投资	-	-	2.53	份	https://query.1234567.com.cn/Query/Detail?id=20180718041303454085010&businType=143&traceNo=
2018-07-17	华夏现金增利货币A/E	003003	红利再投资	-	-	2.25	份	https://query.1234567.com.cn/Query/Detail?id=20180717033032018071734693390&businType=143&traceNo=
2018-07-17	汇添富和聚宝货币	000600	红利再投资	-	-	2.91	份	https://query.1234567.com.cn/Query/Detail?id=201807174730300283605820&businType=143&traceNo=
2018-07-17	招商招钱宝货币A	000588	红利再投资	-	-	2.68	份	https://query.1234567.com.cn/Query/Detail?id=201807171720180717400001440040&businType=143&traceNo=
2018-07-17	富国富钱包货币	000638	红利再投资	-	-	2.70	份	https://query.1234567.com.cn/Query/Detail?id=201807171030300418251770&businType=143&traceNo=
2018-07-17	华安汇财通货币	000709	红利再投资	-	-	2.60	份	https://query.1234567.com.cn/Query/Detail?id=20180717041303452824774&businType=143&traceNo=
2018-07-16	汇添富和聚宝货币	000600	红利再投资	-	-	9.13	份	https://query.1234567.com.cn/Query/Detail?id=201807164730300283022450&businType=143&traceNo=
2018-07-16	华夏现金增利货币A/E	003003	红利再投资	-	-	6.74	份	https://query.1234567.com.cn/Query/Detail?id=20180716033032018071631612098&businType=143&traceNo=
2018-07-16	华安德国30(DAX)联接	000614	银行卡支付买入	6400.00	元	5340.29	份	https://query.1234567.com.cn/Query/Detail?id=35ef1a1b32e24e88a0e43fb8cad27b62&businType=22&traceNo=
2018-07-16	招商招钱宝货币A	000588	红利再投资	-	-	2.70	份	https://query.1234567.com.cn/Query/Detail?id=201807161720180716400003010113&businType=143&traceNo=
2018-07-16	招商招钱宝货币A	000588	红利再投资	-	-	2.70	份	https://query.1234567.com.cn/Query/Detail?id=201807161720180716400001869030&businType=143&traceNo=
2018-07-16	招商招钱宝货币A	000588	红利再投资	-	-	2.70	份	https://query.1234567.com.cn/Query/Detail?id=201807161720180716400004114296&businType=143&traceNo=
2018-07-16	富国富钱包货币	000638	红利再投资	-	-	8.03	份	https://query.1234567.com.cn/Query/Detail?id=201807161030300416682740&businType=143&traceNo=
2018-07-16	华安汇财通货币	000709	红利再投资	-	-	7.77	份	https://query.1234567.com.cn/Query/Detail?id=20180716041303451591793&businType=143&traceNo=
2018-07-13	汇添富和聚宝货币	000600	红利再投资	-	-	2.90	份	https://query.1234567.com.cn/Query/Detail?id=201807134730300282419050&businType=143&traceNo=
2018-07-13	华夏现金增利货币A/E	003003	红利再投资	-	-	2.27	份	https://query.1234567.com.cn/Query/Detail?id=20180713033032018071330425682&businType=143&traceNo=
2018-07-13	招商招钱宝货币A	000588	红利再投资	-	-	2.70	份	https://query.1234567.com.cn/Query/Detail?id=201807131720180713400001343293&businType=143&traceNo=
2018-07-13	富国富钱包货币	000638	红利再投资	-	-	2.65	份	https://query.1234567.com.cn/Query/Detail?id=201807131030300415238460&businType=143&traceNo=
2018-07-13	华安汇财通货币	000709	红利再投资	-	-	2.64	份	https://query.1234567.com.cn/Query/Detail?id=20180713041303449549162&businType=143&traceNo=
2018-07-12	华夏现金增利货币A/E	003003	红利再投资	-	-	2.19	份	https://query.1234567.com.cn/Query/Detail?id=20180712033032018071229247997&businType=143&traceNo=
2018-07-12	招商招钱宝货币A	000588	红利再投资	-	-	2.17	份	https://query.1234567.com.cn/Query/Detail?id=201807121720180712400001288836&businType=143&traceNo=
2018-07-12	汇添富和聚宝货币	000600	红利再投资	-	-	2.40	份	https://query.1234567.com.cn/Query/Detail?id=201807124730300281861850&businType=143&traceNo=
2018-07-12	富国富钱包货币	000638	红利再投资	-	-	2.19	份	https://query.1234567.com.cn/Query/Detail?id=201807121030300413824720&businType=143&traceNo=
2018-07-12	华安汇财通货币	000709	红利再投资	-	-	2.12	份	https://query.1234567.com.cn/Query/Detail?id=20180712041303448543378&businType=143&traceNo=
2018-07-11	汇添富和聚宝货币	000600	红利再投资	-	-	2.42	份	https://query.1234567.com.cn/Query/Detail?id=201807114730300281304170&businType=143&traceNo=
2018-07-11	华夏现金增利货币A/E	003003	红利再投资	-	-	1.83	份	https://query.1234567.com.cn/Query/Detail?id=20180711033032018071128070272&businType=143&traceNo=
2018-07-11	招商招钱宝货币A	000588	红利再投资	-	-	2.17	份	https://query.1234567.com.cn/Query/Detail?id=201807111720180711400001415276&businType=143&traceNo=
2018-07-11	富国富钱包货币	000638	红利再投资	-	-	2.26	份	https://query.1234567.com.cn/Query/Detail?id=201807111030300412350440&businType=143&traceNo=
2018-07-11	华安汇财通货币	000709	红利再投资	-	-	2.11	份	https://query.1234567.com.cn/Query/Detail?id=20180711041303447497222&businType=143&traceNo=
2018-07-10	博时现金宝货币Ｂ	000891	活期宝充值	10000.00	元	10000.00	份	https://query.1234567.com.cn/Query/Detail?id=0190a2fd800042abb0a59ee732551d73&businType=801&traceNo=
2018-07-10	汇添富和聚宝货币	000600	活期宝充值	5000.00	元	5000.00	份	https://query.1234567.com.cn/Query/Detail?id=0d8e214f58ce40999d3f9befe4053d8b&businType=801&traceNo=
2018-07-10	富国富钱包货币	000638	活期宝充值	5000.00	元	5000.00	份	https://query.1234567.com.cn/Query/Detail?id=ed321cea10db4f23abd47f96eb73c2f4&businType=801&traceNo=
2018-07-10	招商招钱宝货币A	000588	活期宝充值	5000.00	元	5000.00	份	https://query.1234567.com.cn/Query/Detail?id=5a05cb44a35a41a2b133316f8785f92b&businType=801&traceNo=
2018-07-10	华安汇财通货币	000709	活期宝充值	5000.00	元	5000.00	份	https://query.1234567.com.cn/Query/Detail?id=9ab34030009b413ba562148f95fad0ae&businType=801&traceNo=
2018-07-10	华夏现金增利货币A/E	003003	活期宝充值	5000.00	元	5000.00	份	https://query.1234567.com.cn/Query/Detail?id=47663c760c764c14b31610c27b4973e7&businType=801&traceNo=
2018-07-10	汇添富和聚宝货币	000600	红利再投资	-	-	2.43	份	https://query.1234567.com.cn/Query/Detail?id=201807104730300280748770&businType=143&traceNo=
2018-07-10	华夏现金增利货币A/E	003003	红利再投资	-	-	3.54	份	https://query.1234567.com.cn/Query/Detail?id=20180710033032018071026750014&businType=143&traceNo=
2018-07-10	富国富钱包货币	000638	红利再投资	-	-	2.32	份	https://query.1234567.com.cn/Query/Detail?id=201807101030300410993390&businType=143&traceNo=
2018-07-07	华安汇财通货币	000709	活期宝充值	20000.00	元	20000.00	份	https://query.1234567.com.cn/Query/Detail?id=0e6c2efb19a645e693ebfbbb9f7a72e2&businType=801&traceNo=
2018-07-07	招商招钱宝货币A	000588	活期宝充值	20000.00	元	20000.00	份	https://query.1234567.com.cn/Query/Detail?id=46d66974f9574e01961e7a1b3e71feb2&businType=801&traceNo=
2018-07-06	汇添富和聚宝货币	000600	活期宝充值	22400.00	元	22400.00	份	https://query.1234567.com.cn/Query/Detail?id=c604990d219e4855aaab7439c26f47f1&businType=801&traceNo=
2018-07-06	华夏现金增利货币A/E	003003	活期宝充值	20000.00	元	20000.00	份	https://query.1234567.com.cn/Query/Detail?id=37db1beb8eb4421f9e9ca243443ec642&businType=801&traceNo=
2018-07-06	富国富钱包货币	000638	活期宝充值	20000.00	元	20000.00	份	https://query.1234567.com.cn/Query/Detail?id=9af45c245c77439784d87985e04d41bb&businType=801&traceNo=
2018-07-05	广发中债7-10年国开债指数A	003376	卖出回银行卡	4205.50	份	4176.92	元	https://query.1234567.com.cn/Query/Detail?id=b2804435ec2a476db2e91d7b921cd5a5&businType=24&traceNo=
2018-07-05	富国中证红利指数增强	100032	银行卡支付买入	6400.00	元	6327.14	份	https://query.1234567.com.cn/Query/Detail?id=66ec10c312174be18af018b9957b8b2b&businType=22&traceNo=
2018-07-04	广发养老指数A	000968	银行卡支付买入	6400.00	元	6394.25	份	https://query.1234567.com.cn/Query/Detail?id=d1f8b66887274d7789dd8070321e0e38&businType=22&traceNo=
2018-07-02	富国中证红利指数增强	100032	银行卡支付买入	6400.00	元	6228.47	份	https://query.1234567.com.cn/Query/Detail?id=295aea73601e45319daeb2d94776d373&businType=22&traceNo=
2018-07-02	广发中证全指金融地产联接A	001469	银行卡支付买入	6400.00	元	7520.39	份	https://query.1234567.com.cn/Query/Detail?id=09ee5ca671824166a17c2dcc57bfa223&businType=22&traceNo=
2018-07-02	博时现金宝货币Ｂ	000891	红利再投资	-	-	39.70	份	https://query.1234567.com.cn/Query/Detail?id=201807020520180702000460612286&businType=143&traceNo=
2018-08-31	鹏华添利宝货币	001666	红利再投资	-	-	8.69	份	https://query.1234567.com.cn/Query/Detail?id=201808310630301043966010&businType=143&traceNo=
2018-08-31	南方天天利货币Ｂ	003474	红利再投资	-	-	6.36	份	https://query.1234567.com.cn/Query/Detail?id=201808310130300892570130&businType=143&traceNo=
2018-08-30	鹏华添利宝货币	001666	红利再投资	-	-	8.56	份	https://query.1234567.com.cn/Query/Detail?id=201808300630301040817820&businType=143&traceNo=
2018-08-30	南方天天利货币Ｂ	003474	红利再投资	-	-	6.43	份	https://query.1234567.com.cn/Query/Detail?id=201808300130300890250050&businType=143&traceNo=
2018-08-29	鹏华添利宝货币	001666	红利再投资	-	-	8.41	份	https://query.1234567.com.cn/Query/Detail?id=201808290630301037669110&businType=143&traceNo=
2018-08-29	南方天天利货币Ｂ	003474	红利再投资	-	-	6.56	份	https://query.1234567.com.cn/Query/Detail?id=201808290130300887934280&businType=143&traceNo=
2018-08-28	鹏华添利宝货币	001666	红利再投资	-	-	8.45	份	https://query.1234567.com.cn/Query/Detail?id=201808280630301034582720&businType=143&traceNo=
2018-08-28	南方天天利货币Ｂ	003474	红利再投资	-	-	6.46	份	https://query.1234567.com.cn/Query/Detail?id=201808280130300885672710&businType=143&traceNo=
2018-08-27	鹏华添利宝货币	001666	红利再投资	-	-	25.37	份	https://query.1234567.com.cn/Query/Detail?id=201808270630301031214800&businType=143&traceNo=
2018-08-27	南方天天利货币Ｂ	003474	红利再投资	-	-	19.29	份	https://query.1234567.com.cn/Query/Detail?id=201808270130300883225640&businType=143&traceNo=
2018-08-24	鹏华添利宝货币	001666	红利再投资	-	-	8.57	份	https://query.1234567.com.cn/Query/Detail?id=201808240630301028100410&businType=143&traceNo=
2018-08-24	南方天天利货币Ｂ	003474	红利再投资	-	-	6.80	份	https://query.1234567.com.cn/Query/Detail?id=201808240130300881054520&businType=143&traceNo=
2018-08-23	鹏华添利宝货币	001666	红利再投资	-	-	8.75	份	https://query.1234567.com.cn/Query/Detail?id=201808230630301025022890&businType=143&traceNo=
2018-08-23	南方天天利货币Ｂ	003474	红利再投资	-	-	6.33	份	https://query.1234567.com.cn/Query/Detail?id=201808230130300878842130&businType=143&traceNo=
2018-08-22	鹏华添利宝货币	001666	红利再投资	-	-	8.40	份	https://query.1234567.com.cn/Query/Detail?id=201808220630301021997230&businType=143&traceNo=
2018-08-22	南方天天利货币Ｂ	003474	红利再投资	-	-	6.49	份	https://query.1234567.com.cn/Query/Detail?id=201808220130300876652570&businType=143&traceNo=
2018-08-21	鹏华添利宝货币	001666	红利再投资	-	-	8.71	份	https://query.1234567.com.cn/Query/Detail?id=201808210630301018967220&businType=143&traceNo=
2018-08-21	南方天天利货币Ｂ	003474	红利再投资	-	-	7.34	份	https://query.1234567.com.cn/Query/Detail?id=201808210130300874466950&businType=143&traceNo=
2018-08-20	博时现金宝货币Ｂ	000891	份额调增	0.05	元	0.05	份	https://query.1234567.com.cn/Query/Detail?id=6cddd5f3bcfb457f98db68201efc737a&businType=863&traceNo=201808200520180820000498453809
2018-08-20	广发养老指数A	000968	活期宝转入	6400.00	元	7127.93	份	https://query.1234567.com.cn/Query/Detail?id=203fdca40d5740859b80b1c96811772e&businType=22&traceNo=203fdca40d5740859b80b1c96811772e
2018-08-20	鹏华添利宝货币	001666	红利再投资	-	-	25.38	份	https://query.1234567.com.cn/Query/Detail?id=201808200630301015612880&businType=143&traceNo=
2018-08-20	南方天天利货币Ｂ	003474	红利再投资	-	-	27.05	份	https://query.1234567.com.cn/Query/Detail?id=201808200130300872053320&businType=143&traceNo=
2018-08-17	广发养老指数A	000968	活期宝转入	6400.00	元	7121.58	份	https://query.1234567.com.cn/Query/Detail?id=ec0354ac04c74a24bddd23bdea052e49&businType=22&traceNo=ec0354ac04c74a24bddd23bdea052e49
2018-08-17	广发医药卫生联接A	001180	活期宝转入	6400.00	元	8364.73	份	https://query.1234567.com.cn/Query/Detail?id=aacef9dc65cd442d98c16c30d1a73d63&businType=22&traceNo=aacef9dc65cd442d98c16c30d1a73d63
2018-08-17	鹏华添利宝货币	001666	红利再投资	-	-	8.84	份	https://query.1234567.com.cn/Query/Detail?id=201808170630301012399350&businType=143&traceNo=
2018-08-17	南方天天利货币Ｂ	003474	红利再投资	-	-	8.76	份	https://query.1234567.com.cn/Query/Detail?id=201808170130300869868050&businType=143&traceNo=
2018-08-16	南方天天利货币Ｂ	003474	活期宝互转	41.52	份	41.52	份	https://query.1234567.com.cn/Query/Detail?id=011c9a9996b44ec7b17919a3ddcb4fb1&businType=804&traceNo=
2018-08-16	鹏华添利宝货币	001666	红利再投资	-	-	8.52	份	https://query.1234567.com.cn/Query/Detail?id=201808160630301009239120&businType=143&traceNo=
