	bonus_amount_rmb	report_date	code
299		2017-06-30	002153.XSHE
300	10667.8875	2017-12-31	002153.XSHE
301		2018-06-30	002153.XSHE
302		2016-06-30	002202.XSHE
303	54710.82	2016-12-31	002202.XSHE
304		2017-06-30	002202.XSHE
305	71124.066	2017-12-31	002202.XSHE
306		2018-06-30	002202.XSHE
307		2016-06-30	002230.XSHE
308	13264.9013	2016-12-31	002230.XSHE
309		2017-06-30	002230.XSHE
310	13883.2033	2017-12-31	002230.XSHE
311		2018-06-30	002230.XSHE
312		2016-06-30	002236.XSHE
313	28994.1141	2016-12-31	002236.XSHE
314		2017-06-30	002236.XSHE
315	57975.1226	2017-12-31	002236.XSHE
316		2018-06-30	002236.XSHE
317		2016-06-30	002241.XSHE
318	22939.91	2016-12-31	002241.XSHE
319		2017-06-30	002241.XSHE
320	32451.0395	2017-12-31	002241.XSHE
321		2018-06-30	002241.XSHE
322		2016-06-30	002252.XSHE
323	14910.7167	2016-12-31	002252.XSHE
324		2017-06-30	002252.XSHE
325	8456.8576	2017-12-31	002252.XSHE
326		2018-06-30	002252.XSHE
327		2016-06-30	002294.XSHE
328	73221.12	2016-12-31	002294.XSHE
329		2017-06-30	002294.XSHE
330	83681.28	2017-12-31	002294.XSHE
331		2018-06-30	002294.XSHE
332		2016-06-30	002304.XSHE
333	316467.48	2016-12-31	002304.XSHE
334		2017-06-30	002304.XSHE
335	384281.94	2017-12-31	002304.XSHE
336		2018-06-30	002304.XSHE
337		2016-06-30	002310.XSHE
338	8032.0709	2016-12-31	002310.XSHE
339		2017-06-30	002310.XSHE
340	17438.0601	2017-12-31	002310.XSHE
341		2018-06-30	002310.XSHE
342		2016-06-30	002352.XSHE
343	41836.7821	2016-12-31	002352.XSHE
344		2017-06-30	002352.XSHE
345	97098.5881	2017-12-31	002352.XSHE
346		2018-06-30	002352.XSHE
347		2016-06-30	002385.XSHE
348	24604.0147	2016-12-31	002385.XSHE
349		2017-06-30	002385.XSHE
350	33943.9509	2017-12-31	002385.XSHE
351		2018-06-30	002385.XSHE
352		2016-06-30	002411.XSHE
353	12258.2713	2016-12-31	002411.XSHE
354		2017-06-30	002411.XSHE
355	15322.8391	2017-12-31	002411.XSHE
356		2018-06-30	002411.XSHE
357		2016-06-30	002415.XSHE
358	369154.6046	2016-12-31	002415.XSHE
359		2017-06-30	002415.XSHE
360	461363.5237	2017-12-31	002415.XSHE
361		2018-06-30	002415.XSHE
362		2016-06-30	002450.XSHE
363	20118.9051	2016-12-31	002450.XSHE
364		2017-06-30	002450.XSHE
365	24768.5975	2017-12-31	002450.XSHE
366		2018-06-30	002450.XSHE
367		2016-06-30	002456.XSHE
368	11948.9303	2016-12-31	002456.XSHE
369		2017-06-30	002456.XSHE
370	12486.4515	2017-12-31	002456.XSHE
371		2018-06-30	002456.XSHE
372		2016-06-30	002460.XSHE
373	7289.0488	2016-12-31	002460.XSHE
374		2017-06-30	002460.XSHE
375	29730.4976	2017-12-31	002460.XSHE
376		2018-06-30	002460.XSHE
377		2016-06-30	002466.XSHE
378	17899.5996	2016-12-31	002466.XSHE
379		2017-06-30	002466.XSHE
380	22841.057	2017-12-31	002466.XSHE
381		2018-06-30	002466.XSHE
382		2016-06-30	002468.XSHE
383	15308.0217	2016-12-31	002468.XSHE
384		2017-06-30	002468.XSHE
385	30616.0433	2017-12-31	002468.XSHE
386		2018-06-30	002468.XSHE
387		2016-06-30	002470.XSHE
388	31500.2915	2016-12-31	002470.XSHE
389		2017-06-30	002470.XSHE
390	25262.7048	2017-12-31	002470.XSHE
391		2018-06-30	002470.XSHE
392		2016-06-30	002475.XSHE
393	16960.4691	2016-12-31	002475.XSHE
394		2017-06-30	002475.XSHE
395	19037.7732	2017-12-31	002475.XSHE
396		2018-06-30	002475.XSHE
397		2016-06-30	002493.XSHE
398	30528.0	2016-12-31	002493.XSHE
399		2017-06-30	002493.XSHE
400	45792.0	2017-12-31	002493.XSHE
401		2018-06-30	002493.XSHE
402	25458.5264	2017-12-31	002500.XSHE
403		2016-06-30	002500.XSHE
404	25458.5264	2016-12-31	002500.XSHE
405		2017-06-30	002500.XSHE
406		2018-06-30	002500.XSHE
407		2016-06-30	002508.XSHE
408	36501.2625	2016-12-31	002508.XSHE
409		2017-06-30	002508.XSHE
410	71177.4619	2017-12-31	002508.XSHE
411		2018-06-30	002508.XSHE
412		2016-06-30	002555.XSHE
413	20847.9479	2016-12-31	002555.XSHE
414		2017-06-30	002555.XSHE
415	21248.7025	2017-12-31	002555.XSHE
416	21248.7025	2018-06-30	002555.XSHE
417		2016-06-30	002558.XSHE
418	33739.6655	2016-12-31	002558.XSHE
419		2017-06-30	002558.XSHE
420	40487.5986	2017-12-31	002558.XSHE
421		2018-06-30	002558.XSHE
422		2016-06-30	002572.XSHE
423	32319.9209	2016-12-31	002572.XSHE
424		2017-06-30	002572.XSHE
425	41554.184	2017-12-31	002572.XSHE
426		2018-06-30	002572.XSHE
427	100122.8428	2016-06-30	002594.XSHE
428	48560.9428	2016-12-31	002594.XSHE
429		2017-06-30	002594.XSHE
430	38466.8143	2017-12-31	002594.XSHE
431		2018-06-30	002594.XSHE
432		2016-06-30	002601.XSHE
433	60964.9422	2016-09-30	002601.XSHE
434	40643.2934	2016-12-31	002601.XSHE
435	99892.7845	2017-06-30	002601.XSHE
436	111765.2491	2017-12-31	002601.XSHE
437	132081.3547	2018-06-30	002601.XSHE
438	10270.9204	2016-06-30	002602.XSHE
439		2016-12-31	002602.XSHE
440		2017-06-30	002602.XSHE
441	10270.9204	2017-09-30	002602.XSHE
442		2017-12-31	002602.XSHE
443		2018-06-30	002602.XSHE
444		2016-06-30	002608.XSHE
445		2016-09-08	002608.XSHE
446		2016-12-31	002608.XSHE
447		2017-06-30	002608.XSHE
448		2017-12-31	002608.XSHE
449		2018-06-30	002608.XSHE
450		2016-06-30	002624.XSHE
451	11674.3099	2016-12-31	002624.XSHE
452		2017-06-30	002624.XSHE
453	22349.9341	2017-12-31	002624.XSHE
454		2018-06-30	002624.XSHE
455		2016-06-30	002625.XSHE
456		2016-12-31	002625.XSHE
457		2017-06-30	002625.XSHE
458	1394.1451	2017-12-31	002625.XSHE
459		2018-06-30	002625.XSHE
460	24512.8784	2017-12-31	002673.XSHE
461		2016-06-30	002673.XSHE
462	38520.2375	2016-12-31	002673.XSHE
463		2017-06-30	002673.XSHE
464		2018-06-30	002673.XSHE
465		2016-06-30	002714.XSHE
466	80049.8249	2016-12-31	002714.XSHE
467		2017-06-30	002714.XSHE
468	79933.9785	2017-12-31	002714.XSHE
469		2018-06-30	002714.XSHE
470		2016-06-30	002736.XSHE
471	164000.0	2016-12-31	002736.XSHE
472		2017-06-30	002736.XSHE
473	123000.0	2017-12-31	002736.XSHE
474		2018-06-30	002736.XSHE
475		2016-06-30	002739.XSHE
476	23485.8995	2016-12-31	002739.XSHE
477		2017-06-30	002739.XSHE
478	23485.8995	2017-12-31	002739.XSHE
479		2018-06-30	002739.XSHE
480	7004.8	2017-12-31	002797.XSHE
481		2016-06-30	002797.XSHE
482	8756.0	2016-12-31	002797.XSHE
483		2017-06-30	002797.XSHE
484		2018-06-30	002797.XSHE
485	36412.8	2017-12-31	002925.XSHE
486		2018-06-30	002925.XSHE
487		2016-06-30	300003.XSHE
488	17460.1986	2016-12-31	300003.XSHE
489		2017-06-30	300003.XSHE
490	22626.9921	2017-12-31	300003.XSHE
491		2018-06-30	300003.XSHE
492		2016-06-30	300015.XSHE
493	18214.3034	2016-12-31	300015.XSHE
494		2017-06-30	300015.XSHE
495	47675.4255	2017-12-31	300015.XSHE
496		2018-06-30	300015.XSHE
497		2016-06-30	300017.XSHE
498	20038.5845	2016-12-31	300017.XSHE
499		2017-06-30	300017.XSHE
500	7234.2582	2017-12-31	300017.XSHE
501		2018-06-30	300017.XSHE
502		2016-06-30	300024.XSHE
503		2016-12-31	300024.XSHE
504		2017-06-30	300024.XSHE
505	7801.1981	2017-12-31	300024.XSHE
506		2018-06-30	300024.XSHE
507		2016-06-30	300027.XSHE
508	8357.0592	2016-12-31	300027.XSHE
509		2017-06-30	300027.XSHE
510	8323.5178	2017-12-31	300027.XSHE
511		2018-06-30	300027.XSHE
512		2016-06-30	300033.XSHE
513	48384.0	2016-12-31	300033.XSHE
514		2017-06-30	300033.XSHE
515	48384.0	2017-12-31	300033.XSHE
516		2018-06-30	300033.XSHE
517		2016-06-30	300059.XSHE
518	14233.2852	2016-12-31	300059.XSHE
519		2017-06-30	300059.XSHE
520	8577.5594	2017-12-31	300059.XSHE
521		2018-06-30	300059.XSHE
522		2016-06-30	300070.XSHE
523	17548.6459	2016-12-31	300070.XSHE
524		2017-06-30	300070.XSHE
525	28253.5912	2017-12-31	300070.XSHE
526		2018-06-30	300070.XSHE
527		2016-06-30	300072.XSHE
528	23911.9178	2016-12-31	300072.XSHE
529		2017-06-30	300072.XSHE
530	18080.7996	2017-12-31	300072.XSHE
531		2018-06-30	300072.XSHE
532		2016-06-30	300122.XSHE
533	1600.0	2016-12-31	300122.XSHE
534		2017-06-30	300122.XSHE
535	20800.0	2017-12-31	300122.XSHE
536		2018-06-30	300122.XSHE
537		2016-06-30	300124.XSHE
538	45790.5781	2016-12-31	300124.XSHE
539		2017-06-30	300124.XSHE
540	49924.9413	2017-12-31	300124.XSHE
541		2018-06-30	300124.XSHE
542		2016-06-30	300136.XSHE
543	4914.1732	2016-12-31	300136.XSHE
544		2017-06-30	300136.XSHE
545	7862.6771	2017-12-31	300136.XSHE
546		2018-06-30	300136.XSHE
547		2016-06-30	300144.XSHE
548	14526.1358	2016-12-31	300144.XSHE
549		2017-06-30	300144.XSHE
550	17431.2936	2017-12-31	300144.XSHE
551		2018-06-30	300144.XSHE
552		2016-06-30	300251.XSHE
553	11734.4337	2016-12-31	300251.XSHE
554		2017-06-30	300251.XSHE
555	58672.1686	2017-12-31	300251.XSHE
556		2018-06-30	300251.XSHE
557		2016-06-30	300408.XSHE
558	34559.0084	2016-12-31	300408.XSHE
559		2017-06-30	300408.XSHE
560	34822.6764	2017-12-31	300408.XSHE
561		2018-06-30	300408.XSHE
562		2016-06-30	300433.XSHE
563	21816.0277	2016-12-31	300433.XSHE
564		2017-06-30	300433.XSHE
565	60467.6855	2017-12-31	300433.XSHE
566		2018-06-30	300433.XSHE
567		2016-06-30	600000.XSHG
568	432365.5984	2016-12-31	600000.XSHG
569		2017-06-30	600000.XSHG
570	293520.804	2017-12-31	600000.XSHG
571		2018-06-30	600000.XSHG
572		2016-06-30	600008.XSHG
573	38564.913	2016-12-31	600008.XSHG
574		2017-06-30	600008.XSHG
575	38564.913	2017-12-31	600008.XSHG
576		2018-06-30	600008.XSHG
577		2016-06-30	600009.XSHG
578	84786.1717	2016-12-31	600009.XSHG
579		2017-06-30	600009.XSHG
580	111763.59	2017-12-31	600009.XSHG
581		2018-06-30	600009.XSHG
582		2016-06-30	600010.XSHG
583		2016-12-31	600010.XSHG
584		2017-06-30	600010.XSHG
585	22792.5163	2017-12-31	600010.XSHG
586		2018-06-30	600010.XSHG
587		2016-06-30	600011.XSHG
588	440811.1198	2016-12-31	600011.XSHG
589		2017-06-30	600011.XSHG
590	152003.8344	2017-12-31	600011.XSHG
591		2018-06-30	600011.XSHG
592		2016-06-30	600015.XSHG
593	193408.857	2016-12-31	600015.XSHG
594		2017-06-30	600015.XSHG
595	193622.5685	2017-12-31	600015.XSHG
596		2018-06-30	600015.XSHG
597	339845.3475	2016-06-30	600016.XSHG
598	487604.1942	2016-12-31	600016.XSHG
599	354621.2321	2017-06-30	600016.XSHG
600	328368.1388	2017-12-31	600016.XSHG
601		2018-06-30	600016.XSHG
602		2016-06-30	600018.XSHG
603	361509.3245	2016-12-31	600018.XSHG
604		2017-06-30	600018.XSHG
605	398587.204	2017-12-31	600018.XSHG
606		2018-06-30	600018.XSHG
607		2016-06-30	600019.XSHG
608	464155.7954	2016-12-31	600019.XSHG
609		2017-06-30	600019.XSHG
610	1002056.1806	2017-12-31	600019.XSHG
611		2018-06-30	600019.XSHG
612		2016-06-30	600023.XSHG
613	312815.8697	2016-12-31	600023.XSHG
614		2017-06-30	600023.XSHG
615	231211.7298	2017-12-31	600023.XSHG
616		2018-06-30	600023.XSHG
617	99000.0	2017-12-31	600025.XSHG
618		2018-06-30	600025.XSHG
619	956462.5562	2016-06-30	600028.XSHG
620	2058210.564	2016-12-31	600028.XSHG
621	1210712.0965	2017-06-30	600028.XSHG
622	4842848.3858	2017-12-31	600028.XSHG
623	1937139.3543	2018-06-30	600028.XSHG
624		2016-06-30	600029.XSHG
625	98175.67	2016-12-31	600029.XSHG
626		2017-06-30	600029.XSHG
627	100881.7327	2017-12-31	600029.XSHG
628		2018-06-30	600029.XSHG
629		2016-06-30	600030.XSHG
630	424091.794	2016-12-31	600030.XSHG
631		2017-06-30	600030.XSHG
632	484676.336	2017-12-31	600030.XSHG
633		2018-06-30	600030.XSHG
634		2016-06-30	600031.XSHG
635	7657.9871	2016-12-31	600031.XSHG
636	15287.1713	2017-06-30	600031.XSHG
637	124483.4886	2017-12-31	600031.XSHG
638		2018-06-30	600031.XSHG
639		2016-06-30	600036.XSHG
640	1526541.8877	2016-12-31	600036.XSHG
641		2017-06-30	600036.XSHG
642	2118467.0305	2017-12-31	600036.XSHG
643		2018-06-30	600036.XSHG
644		2016-06-30	600038.XSHG
645	13557.9645	2016-12-31	600038.XSHG
646		2017-06-30	600038.XSHG
647	13734.8075	2017-12-31	600038.XSHG
648		2018-06-30	600038.XSHG
649		2016-06-30	600048.XSHG
650	373540.8934	2016-12-31	600048.XSHG
651		2017-06-30	600048.XSHG
652	474337.6424	2017-12-31	600048.XSHG
653		2018-06-30	600048.XSHG
654		2016-06-30	600050.XSHG
655		2016-12-31	600050.XSHG
656		2017-06-30	600050.XSHG
657	61435.0671	2017-12-31	600050.XSHG
658		2018-06-30	600050.XSHG
659	78685.4315	2016-06-30	600061.XSHG
660	25859.062	2016-12-31	600061.XSHG
661		2017-06-30	600061.XSHG
662	26208.2043	2017-12-31	600061.XSHG
663		2018-06-30	600061.XSHG
664		2016-06-30	600066.XSHG
665	221393.9223	2016-12-31	600066.XSHG
666		2017-06-30	600066.XSHG
667	110696.9612	2017-12-31	600066.XSHG
668		2018-06-30	600066.XSHG
669		2016-06-30	600068.XSHG
670	94858.4147	2016-12-31	600068.XSHG
671		2017-06-30	600068.XSHG
672	123408.0346	2017-12-31	600068.XSHG
673		2018-06-30	600068.XSHG
674		2016-06-30	600085.XSHG
675	32915.2863	2016-12-31	600085.XSHG
676		2017-06-30	600085.XSHG
677	34286.7566	2017-12-31	600085.XSHG
678		2018-06-30	600085.XSHG
679		2016-06-30	600089.XSHG
680	67995.5364	2016-12-31	600089.XSHG
681		2017-06-30	600089.XSHG
682	78004.5586	2017-12-31	600089.XSHG
683		2018-06-30	600089.XSHG
684		2016-06-30	600100.XSHG
685	74097.4738	2016-12-31	600100.XSHG
686		2017-06-30	600100.XSHG
687	4445.8484	2017-12-31	600100.XSHG
688		2018-06-30	600100.XSHG
689		2016-06-30	600104.XSHG
690	1927771.1252	2016-12-31	600104.XSHG
691		2017-06-30	600104.XSHG
692	2138073.4298	2017-12-31	600104.XSHG
693		2018-06-30	600104.XSHG
694		2016-06-30	600109.XSHG
695	15121.7966	2016-12-31	600109.XSHG
696		2017-06-30	600109.XSHG
697	15121.7966	2017-12-31	600109.XSHG
698		2018-06-30	600109.XSHG
699		2016-06-30	600111.XSHG
700	3633.066	2016-12-31	600111.XSHG
701		2017-06-30	600111.XSHG
702	12715.731	2017-12-31	600111.XSHG
703		2018-06-30	600111.XSHG
704	73784.687	2016-06-30	600115.XSHG
705	70891.1698	2016-12-31	600115.XSHG
706		2017-06-30	600115.XSHG
707	73784.687	2017-12-31	600115.XSHG
708		2018-06-30	600115.XSHG
709		2016-06-30	600118.XSHG
710	13007.3805	2016-12-31	600118.XSHG
711		2017-06-30	600118.XSHG
712	13007.3805	2017-12-31	600118.XSHG
713		2018-06-30	600118.XSHG
714		2016-06-30	600153.XSHG
715	113408.0212	2016-12-31	600153.XSHG
716		2017-06-30	600153.XSHG
717	56704.0106	2017-12-31	600153.XSHG
718		2018-06-30	600153.XSHG
719	49703.1813	2016-06-30	600157.XSHG
