	bonus_amount_rmb	report_date	code
55		2016-06-30	600276.XSHG
56	31690.7056	2016-12-31	600276.XSHG
57		2017-06-30	600276.XSHG
58	36824.4245	2017-12-31	600276.XSHG
59		2018-06-30	600276.XSHG
60		2016-06-30	600309.XSHG
61	113917.2	2016-12-31	600309.XSHG
62		2017-06-30	600309.XSHG
63	410101.92	2017-09-30	600309.XSHG
64		2017-12-31	600309.XSHG
65		2018-06-30	600309.XSHG
66		2016-06-30	600340.XSHG
67	195026.4828	2016-12-31	600340.XSHG
68		2017-06-30	600340.XSHG
69	265945.2038	2017-12-31	600340.XSHG
70		2018-06-30	600340.XSHG
71		2016-06-30	600519.XSHG
72	852581.4469	2016-12-31	600519.XSHG
73		2017-06-30	600519.XSHG
74	1381691.9602	2017-12-31	600519.XSHG
75		2018-06-30	600519.XSHG
76		2016-06-30	600547.XSHG
77	18571.1881	2016-12-31	600547.XSHG
78		2017-06-30	600547.XSHG
79	14856.9505	2017-09-30	600547.XSHG
80	7428.4752	2017-12-31	600547.XSHG
81		2018-06-30	600547.XSHG
82		2016-06-30	600585.XSHG
83	264965.129	2016-12-31	600585.XSHG
84		2017-06-30	600585.XSHG
85	635916.3095	2017-12-31	600585.XSHG
86		2018-06-30	600585.XSHG
87		2016-06-30	600606.XSHG
88	304203.8596	2016-12-31	600606.XSHG
89		2017-06-30	600606.XSHG
90	304203.8596	2017-12-31	600606.XSHG
91		2018-06-30	600606.XSHG
92	208531.1733	2017-12-31	600690.XSHG
93		2016-06-30	600690.XSHG
94	151215.5876	2016-12-31	600690.XSHG
95		2017-06-30	600690.XSHG
96		2018-06-30	600690.XSHG
97	101960.6232	2017-12-31	600703.XSHG
98		2016-06-30	600703.XSHG
99	81568.4986	2016-12-31	600703.XSHG
100		2017-06-30	600703.XSHG
101		2018-06-30	600703.XSHG
102	425494.4826	2017-12-31	600887.XSHG
103		2016-06-30	600887.XSHG
104	364740.0065	2016-12-31	600887.XSHG
105		2017-06-30	600887.XSHG
106		2018-06-30	600887.XSHG
107	119331.5161	2017-12-31	600958.XSHG
108		2016-06-30	600958.XSHG
109	77825.5802	2016-12-31	600958.XSHG
110		2017-06-30	600958.XSHG
111		2018-06-30	600958.XSHG
112	231799.5628	2017-12-31	600999.XSHG
113	89445.2871	2016-06-30	600999.XSHG
114	108089.254	2016-12-31	600999.XSHG
115		2017-06-30	600999.XSHG
116		2018-06-30	600999.XSHG
117		2016-06-30	601006.XSHG
118	371669.7873	2016-12-31	601006.XSHG
119		2017-06-30	601006.XSHG
120	698739.2001	2017-12-31	601006.XSHG
121		2018-06-30	601006.XSHG
122		2016-06-30	601088.XSHG
123	914922.5409	2016-12-31	601088.XSHG
124	4992294.7342	2017-03-18	601088.XSHG
125		2017-06-30	601088.XSHG
126	1809955.4614	2017-12-31	601088.XSHG
127		2018-06-30	601088.XSHG
128		2016-06-30	601166.XSHG
129	1267225.6358	2016-12-31	601166.XSHG
130		2017-06-30	601166.XSHG
131	1350322.3988	2017-12-31	601166.XSHG
132		2018-06-30	601166.XSHG
133		2016-06-30	601169.XSHG
134	380166.8921	2016-12-31	601169.XSHG
135		2017-06-30	601169.XSHG
136	564517.6801	2017-12-31	601169.XSHG
137		2018-06-30	601169.XSHG
138		2016-06-30	601186.XSHG
139	217272.664	2016-12-31	601186.XSHG
140		2017-06-30	601186.XSHG
141	244431.747	2017-12-31	601186.XSHG
142		2018-06-30	601186.XSHG
143	348557.609	2017-12-31	601211.XSHG
144		2016-06-30	601211.XSHG
145	297375.0	2016-12-31	601211.XSHG
146		2017-06-30	601211.XSHG
147		2018-06-30	601211.XSHG
148	300222.5	2016-12-31	601229.XSHG
149		2017-06-30	601229.XSHG
150	390289.25	2017-12-31	601229.XSHG
151		2018-06-30	601229.XSHG
152	5791079.1061	2017-12-31	601288.XSHG
153		2016-06-30	601288.XSHG
154	5521499.989	2016-12-31	601288.XSHG
155		2017-06-30	601288.XSHG
156		2018-06-30	601288.XSHG
157	365604.8282	2016-06-30	601318.XSHG
158	1005413.2776	2016-12-31	601318.XSHG
159	914012.0705	2017-06-30	601318.XSHG
160	1828024.141	2017-12-31	601318.XSHG
161	365604.8282	2018-04-27	601318.XSHG
162	1133374.9674	2018-06-30	601318.XSHG
163		2016-06-30	601328.XSHG
164	2016233.0284	2016-12-31	601328.XSHG
165		2017-06-30	601328.XSHG
166	2120943.473	2017-12-31	601328.XSHG
167		2018-06-30	601328.XSHG
168		2016-06-30	601336.XSHG
169	149738.2368	2016-12-31	601336.XSHG
170		2017-06-30	601336.XSHG
171	162216.4232	2017-12-31	601336.XSHG
172		2018-06-30	601336.XSHG
173		2016-06-30	601360.XSHG
174	5163.3718	2016-12-31	601360.XSHG
175		2017-06-30	601360.XSHG
176	1826.2949	2017-12-31	601360.XSHG
177		2018-06-30	601360.XSHG
178		2016-06-30	601390.XSHG
179	201029.8536	2016-12-31	601390.XSHG
180		2017-06-30	601390.XSHG
181	258140.6074	2017-12-31	601390.XSHG
182		2018-06-30	601390.XSHG
183	8582262.6707	2017-12-31	601398.XSHG
184		2016-06-30	601398.XSHG
185	8350598.6036	2016-12-31	601398.XSHG
186		2017-06-30	601398.XSHG
187		2018-06-30	601398.XSHG
188		2016-06-30	601601.XSHG
189	634340.0	2016-12-31	601601.XSHG
190		2017-06-30	601601.XSHG
191	724960.0	2017-12-31	601601.XSHG
192		2018-06-30	601601.XSHG
193		2016-06-30	601628.XSHG
194	678352.92	2016-12-31	601628.XSHG
195		2017-06-30	601628.XSHG
196	1130588.2	2017-12-31	601628.XSHG
197		2018-06-30	601628.XSHG
198		2016-06-30	601668.XSHG
199	644910.13	2016-12-31	601668.XSHG
