	market_cap	code
74	338.0331	002456.XSHE
75	285.801	002460.XSHE
76	329.2538	002466.XSHE
77	274.1667	002468.XSHE
78	176.2074	002470.XSHE
79	663.2762	002475.XSHE
80	590.735	002493.XSHE
81	142.5677	002500.XSHE
82	190.4709	002508.XSHE
83	216.7368	002555.XSHE
84	384.2273	002558.XSHE
85	158.8293	002572.XSHE
86	1250.1978	002594.XSHE
87	270.2588	002601.XSHE
88	474.2474	002602.XSHE
89	253.5091	002608.XSHE
90	289.2559	002624.XSHE
91	155.9922	002625.XSHE
92	253.183	002673.XSHE
93	500.4562	002714.XSHE
94	569.9	002736.XSHE
95	608.7545	002739.XSHE
96	150.253	002797.XSHE
97	146.9587	002925.XSHE
98	505.0986	300003.XSHE
99	679.2633	300015.XSHE
100	183.2394	300017.XSHE
101	215.7811	300024.XSHE
102	121.8601	300027.XSHE
103	177.8918	300033.XSHE
104	609.3385	300059.XSHE
105	239.7539	300070.XSHE
106	258.0853	300072.XSHE
107	612.8	300122.XSHE
108	387.584	300124.XSHE
109	237.5575	300136.XSHE
110	306.5002	300144.XSHE
111	200.9522	300251.XSHE
112	330.8029	300408.XSHE
113	308.8533	300433.XSHE
114	3046.7458	600000.XSHG
115	148.4749	600008.XSHG
116	1017.0487	600009.XSHG
117	683.7755	600010.XSHG
118	916.5168	600011.XSHG
119	998.8873	600015.XSHG
120	2598.8184	600016.XSHG
121	1195.7616	600018.XSHG
122	1652.2793	600019.XSHG
123	644.6727	600023.XSHG
124	421.2	600025.XSHG
125	7497.5713	600028.XSHG
126	635.7769	600029.XSHG
127	1759.6042	600030.XSHG
128	610.317	600031.XSHG
129	7230.5557	600036.XSHG
130	212.6243	600038.XSHG
131	1328.3658	600048.XSHG
132	1591.7267	600050.XSHG
133	294.2082	600061.XSHG
134	266.1155	600066.XSHG
135	285.0357	600068.XSHG
136	394.2977	600085.XSHG
137	246.2715	600089.XSHG
138	258.7484	600100.XSHG
139	3290.0627	600104.XSHG
140	180.5543	600109.XSHG
141	339.6917	600111.XSHG
142	625.5873	600115.XSHG
143	183.2858	600118.XSHG
144	204.1344	600153.XSHG
145	207.5108	600157.XSHG
146	255.5562	600170.XSHG
147	324.6638	600176.XSHG
148	253.9246	600177.XSHG
149	459.5585	600188.XSHG
150	703.7525	600196.XSHG
151	251.1008	600208.XSHG
152	236.8282	600219.XSHG
153	311.9996	600221.XSHG
154	285.9079	600233.XSHG
155	462.8349	600271.XSHG
156	2084.2625	600276.XSHG
157	378.8329	600297.XSHG
158	875.7043	600309.XSHG
159	526.7496	600332.XSHG
160	263.5246	600339.XSHG
161	643.8972	600340.XSHG
162	689.2005	600346.XSHG
163	280.7625	600352.XSHG
164	370.5286	600362.XSHG
165	168.7888	600369.XSHG
166	230.1005	600372.XSHG
167	130.0775	600373.XSHG
168	163.0285	600376.XSHG
169	364.7784	600383.XSHG
170	254.1407	600390.XSHG
171	410.1888	600398.XSHG
172	779.2229	600406.XSHG
173	191.0568	600415.XSHG
174	496.2284	600436.XSHG
175	210.4246	600438.XSHG
176	358.9527	600482.XSHG
177	363.60400000000004	600487.XSHG
178	251.2428	600489.XSHG
179	297.6445	600498.XSHG
180	330.7481	600516.XSHG
181	724.6916	600518.XSHG
182	8416.5254	600519.XSHG
183	220.4506	600522.XSHG
184	305.1048	600535.XSHG
185	517.6927	600547.XSHG
186	177.7939	600549.XSHG
187	300.8711	600570.XSHG
188	256.4386	600583.XSHG
189	1860.0083	600585.XSHG
190	472.2705	600588.XSHG
191	681.4166	600606.XSHG
192	296.3221	600637.XSHG
193	588.4682	600660.XSHG
194	384.9095	600663.XSHG
195	350.4104	600674.XSHG
196	113.1124	600682.XSHG
197	523.9129	600688.XSHG
198	829.2468	600690.XSHG
199	545.6933	600703.XSHG
200	182.1727	600704.XSHG
201	376.108	600705.XSHG
202	163.526	600739.XSHG
203	590.1899	600741.XSHG
204	457.8543	600795.XSHG
205	102.1341	600804.XSHG
206	323.4809	600809.XSHG
207	232.4384	600816.XSHG
208	168.5236	600820.XSHG
209	855.1522	600837.XSHG
210	292.8371	600867.XSHG
211	480.4505	600886.XSHG
212	1523.8781	600887.XSHG
213	498.3405	600893.XSHG
214	3482.6001	600900.XSHG
215	153.8925	600909.XSHG
216	705.3659	600919.XSHG
217	388.8692	600926.XSHG
218	527.6399	600958.XSHG
219	160.0426	600959.XSHG
220	205.7434	600977.XSHG
221	732.6184	600999.XSHG
222	1161.0964	601006.XSHG
223	614.9601	601009.XSHG
224	368.5018	601012.XSHG
225	482.1262	601018.XSHG
226	296.5247	601021.XSHG
227	3773.873	601088.XSHG
228	137.6896	601099.XSHG
229	248.7177	601108.XSHG
230	972.9954	601111.XSHG
231	281.181	601117.XSHG
232	504.5254	601155.XSHG
233	3213.7673	601166.XSHG
234	1232.636	601169.XSHG
235	1370.3220000000001	601186.XSHG
236	233.5993	601198.XSHG
237	1220.5641	601211.XSHG
238	214.7673	601212.XSHG
239	237.1083	601216.XSHG
240	838.0	601225.XSHG
241	276.2158	601228.XSHG
242	1273.1235	601229.XSHG
243	942.8389999999999	601238.XSHG
244	13054.3516	601288.XSHG
245	11989.8252	601318.XSHG
246	3964.2709999999997	601328.XSHG
247	211.0333	601333.XSHG
248	1347.9575	601336.XSHG
249	1448.1842	601360.XSHG
250	269.2062	601377.XSHG
251	1654.7188	601390.XSHG
252	18792.6445	601398.XSHG
253	158.1	601555.XSHG
254	489.7182	601600.XSHG
255	2889.6440000000002	601601.XSHG
256	493.3133	601607.XSHG
257	161.7	601611.XSHG
258	628.7408	601618.XSHG
259	5668.7793	601628.XSHG
260	491.315	601633.XSHG
261	2128.6482	601668.XSHG
262	749.6527	601669.XSHG
263	1116.1904	601688.XSHG
264	145.8021	601718.XSHG
265	697.0226	601727.XSHG
266	2264.3821	601766.XSHG
267	368.3188	601788.XSHG
268	1707.1119	601800.XSHG
269	406.8792	601808.XSHG
270	1935.3986	601818.XSHG
271	346.8726	601828.XSHG
272	295.8434	601838.XSHG
273	14901.3369	601857.XSHG
274	194.4637	601866.XSHG
275	440.8277	601877.XSHG
276	199.6667	601878.XSHG
277	502.9764	601881.XSHG
278	1040.6696	601888.XSHG
279	557.7818	601898.XSHG
280	733.2345	601899.XSHG
281	395.1409	601901.XSHG
282	335.1667	601919.XSHG
283	721.6128	601933.XSHG
284	13863.2734	601939.XSHG
285	187.7884	601958.XSHG
286	842.0898	601985.XSHG
287	10036.3789	601988.XSHG
288	917.4797	601989.XSHG
289	479.0888	601991.XSHG
290	311.5567	601992.XSHG
291	255.3736	601997.XSHG
292	2580.322	601998.XSHG
293	342.6831	603160.XSHG
294	322.471	603260.XSHG
295	1948.9207	603288.XSHG
296	288.5031	603799.XSHG
297	321.3067	603833.XSHG
298	225.3963	603858.XSHG
299	741.9382	603993.XSHG
