	code	name	market_cap
165	000729.XSHE	燕京啤酒	204.3441
166	000731.XSHE	四川美丰	42.7643
167	000732.XSHE	泰禾集团	250.1346
168	000733.XSHE	振华科技	80.876
169	000735.XSHE	罗牛山	149.0059
170	000738.XSHE	航发控制	175.2833
171	000739.XSHE	普洛药业	120.6808
172	000750.XSHE	国海证券	253.7756
173	000751.XSHE	锌业股份	54.7029
174	000756.XSHE	新华制药	54.1018
175	000758.XSHE	中色股份	99.6505
176	000759.XSHE	中百集团	54.7541
177	000761.XSHE	本钢板材	168.9662
178	000766.XSHE	通化金马	98.0026
179	000768.XSHE	中航飞机	468.7316
180	000776.XSHE	广发证券	1223.1846
181	000778.XSHE	新兴铸管	211.5166
182	000783.XSHE	长江证券	418.0336
183	000786.XSHE	北新建材	335.1984
184	000788.XSHE	北大医药	48.275
185	000789.XSHE	万年青	95.1328
186	000790.XSHE	泰合健康	32.499
187	000791.XSHE	甘肃电投	63.6088
188	000792.XSHE	盐湖股份	200.8771
189	000793.XSHE	华闻传媒	85.8816
190	000795.XSHE	英洛华	57.8179
191	000796.XSHE	凯撒旅游	79.1758
192	000797.XSHE	中国武夷	74.6729
193	000799.XSHE	酒鬼酒	79.4451
194	000800.XSHE	一汽轿车	166.1678
195	000801.XSHE	四川九洲	72.6193
196	000802.XSHE	北京文化	94.1409
197	000807.XSHE	云铝股份	144.1582
198	000810.XSHE	创维数字	115.3587
199	000811.XSHE	冰轮环境	61.7789
200	000813.XSHE	德展健康	277.4954
201	000815.XSHE	美利云	66.5367
202	000818.XSHE	航锦科技	88.044
203	000820.XSHE	ST节能	43.1415
204	000821.XSHE	京山轻机	50.8632
205	000822.XSHE	山东海化	58.538999999999994
206	000826.XSHE	启迪桑德	213.8715
207	000828.XSHE	东莞控股	105.9268
208	000829.XSHE	天音控股	75.3322
209	000830.XSHE	鲁西化工	225.5886
210	000831.XSHE	五矿稀土	119.178
211	000836.XSHE	富通鑫茂	55.2264
212	000837.XSHE	秦川机床	38.9674
213	000838.XSHE	财信发展	55.9035
214	000839.XSHE	中信国安	220.2942
215	000848.XSHE	承德露露	88.9514
216	000851.XSHE	高鸿股份	68.5261
217	000858.XSHE	五粮液	3904.8977
218	000860.XSHE	顺鑫农业	334.1946
219	000869.XSHE	张裕A	222.4331
220	000875.XSHE	吉电股份	74.2625
221	000876.XSHE	新希望	596.1445
222	000877.XSHE	天山股份	128.6783
223	000878.XSHE	云南铜业	183.0554
224	000881.XSHE	中广核技	110.5973
225	000882.XSHE	华联股份	88.6902
226	000883.XSHE	湖北能源	289.5815
227	000885.XSHE	城发环境	48.3476
228	000887.XSHE	中鼎股份	155.6546
229	000889.XSHE	中嘉博创	80.0246
230	000892.XSHE	欢瑞世纪	52.7767
231	000895.XSHE	双汇发展	875.7028
232	000898.XSHE	鞍钢股份	410.2136
233	000901.XSHE	航天科技	88.7506
234	000902.XSHE	新洋丰	142.1937
235	000905.XSHE	厦门港务	47.7369
236	000908.XSHE	景峰医药	51.8187
237	000910.XSHE	大亚圣象	79.7731
238	000913.XSHE	钱江摩托	49.8436
239	000915.XSHE	山大华特	57.2003
240	000917.XSHE	电广传媒	122.9021
241	000918.XSHE	嘉凯城	139.6444
242	000921.XSHE	海信家电	192.9619
243	000923.XSHE	河北宣工	114.6192
244	000925.XSHE	众合科技	43.5126
245	000926.XSHE	福星股份	76.1308
246	000927.XSHE	一汽夏利	92.9986
247	000928.XSHE	中钢国际	86.5841
248	000930.XSHE	中粮生化	179.0367
249	000931.XSHE	中关村	69.0617
250	000932.XSHE	华菱钢铁	247.8864
251	000933.XSHE	神火股份	99.3962
252	000935.XSHE	四川双马	138.9461
253	000936.XSHE	华西股份	87.6267
254	000937.XSHE	冀中能源	155.1227
255	000938.XSHE	紫光股份	633.3034
256	000951.XSHE	中国重汽	133.9477
257	000952.XSHE	广济药业	29.223000000000003
258	000957.XSHE	中通客车	52.056999999999995
259	000958.XSHE	东方能源	95.6773
260	000959.XSHE	首钢股份	233.2621
261	000960.XSHE	锡业股份	206.2608
262	000961.XSHE	中南建设	339.8167
263	000963.XSHE	华东医药	474.6358
264	000965.XSHE	天保基建	49.9424
265	000967.XSHE	盈峰环境	229.9546
266	000968.XSHE	蓝焰控股	132.1609
267	000969.XSHE	安泰科技	83.9275
268	000970.XSHE	中科三环	115.6807
269	000971.XSHE	ST高升	41.4715
270	000973.XSHE	佛塑科技	49.7256
271	000975.XSHE	银泰资源	200.7174
272	000976.XSHE	华铁股份	95.5812
273	000977.XSHE	浪潮信息	332.6271
274	000980.XSHE	众泰汽车	119.4298
275	000983.XSHE	西山煤电	211.1304
276	000987.XSHE	越秀金控	303.6432
277	000988.XSHE	华工科技	157.8639
278	000989.XSHE	九芝堂	106.5828
279	000990.XSHE	诚志股份	354.3518
280	000996.XSHE	中国中期	56.2695
281	000997.XSHE	新大陆	186.7939
282	000998.XSHE	隆平高科	200.1795
283	000999.XSHE	华润三九	272.7215
284	001872.XSHE	招商港口	356.5304
285	001896.XSHE	豫能控股	48.0946
286	001965.XSHE	招商公路	548.0074
287	001979.XSHE	招商蛇口	1793.4386
288	002001.XSHE	新和成	459.8137
289	002002.XSHE	鸿达兴业	167.2309
290	002003.XSHE	伟星股份	59.353
291	002004.XSHE	华邦健康	117.613
292	002005.XSHE	德豪润达	47.6474
293	002007.XSHE	华兰生物	397.0657
294	002008.XSHE	大族激光	441.44599999999997
295	002013.XSHE	中航机电	289.7742
296	002016.XSHE	世荣兆业	84.065
297	002019.XSHE	亿帆医药	190.3399
298	002020.XSHE	京新药业	80.8232
299	002022.XSHE	科华生物	59.3023
300	002023.XSHE	海特高新	93.9178
301	002024.XSHE	苏宁易购	1302.4745
302	002025.XSHE	航天电器	116.8596
303	002027.XSHE	分众传媒	998.0959
304	002028.XSHE	思源电气	95.9384
305	002030.XSHE	达安基因	102.3878
306	002031.XSHE	巨轮智能	57.4042
307	002032.XSHE	苏泊尔	587.7643
308	002033.XSHE	丽江旅游	37.805
309	002035.XSHE	华帝股份	126.2484
310	002036.XSHE	联创电子	74.13600000000001
311	002038.XSHE	双鹭药业	189.5803
312	002041.XSHE	登海种业	59.048
313	002042.XSHE	华孚时尚	115.4725
314	002043.XSHE	兔宝宝	54.2329
315	002044.XSHE	美年健康	546.8985
316	002047.XSHE	宝鹰股份	101.9386
317	002048.XSHE	宁波华翔	85.48
318	002049.XSHE	紫光国微	271.0049
319	002050.XSHE	三花智控	366.0451
320	002051.XSHE	中工国际	198.863
321	002053.XSHE	云南能投	70.5427
322	002055.XSHE	得润电子	68.2125
323	002056.XSHE	横店东磁	116.6956
324	002060.XSHE	粤水电	46.6478
325	002061.XSHE	浙江交科	120.2308
326	002064.XSHE	华峰氨纶	100.2726
327	002065.XSHE	东华软件	265.7506
328	002067.XSHE	景兴纸业	46.3371
329	002068.XSHE	黑猫股份	49.7311
330	002071.XSHE	长城影视	27.9003
331	002073.XSHE	软控股份	56.5996
332	002074.XSHE	国轩高科	180.2728
333	002078.XSHE	太阳纸业	199.5495
334	002079.XSHE	苏州固锝	53.2147
335	002080.XSHE	中材科技	164.1979
336	002081.XSHE	金螳螂	310.9987
337	002083.XSHE	孚日股份	55.5696
338	002085.XSHE	万丰奥威	189.8212
339	002086.XSHE	ST东海洋	47.4988
340	002089.XSHE	新海宜	71.8952
341	002091.XSHE	江苏国泰	115.1377
342	002092.XSHE	中泰化学	219.3671
343	002093.XSHE	国脉科技	97.3245
344	002094.XSHE	青岛金王	46.5395
345	002095.XSHE	生意宝	78.8486
346	002097.XSHE	山河智能	78.6702
347	002099.XSHE	海翔药业	148.6077
348	002101.XSHE	广东鸿图	54.0881
349	002104.XSHE	恒宝股份	55.6094
350	002108.XSHE	沧州明珠	72.4559
351	002110.XSHE	三钢闽光	306.7739
352	002113.XSHE	ST天润	50.5789
353	002115.XSHE	三维通信	70.4681
354	002117.XSHE	东港股份	73.4831
355	002118.XSHE	紫鑫药业	166.2426
356	002120.XSHE	韵达股份	655.3037
357	002121.XSHE	科陆电子	87.4585
358	002123.XSHE	梦网集团	104.0819
359	002124.XSHE	天邦股份	233.0852
360	002126.XSHE	银轮股份	71.2963
361	002127.XSHE	南极电商	263.1621
362	002128.XSHE	露天煤业	156.2466
363	002129.XSHE	中环股份	283.8074
364	002130.XSHE	沃尔核材	77.4775
365	002131.XSHE	利欧股份	142.6536
366	002135.XSHE	东南网架	66.6155
367	002137.XSHE	麦达数字	47.4832
368	002138.XSHE	顺络电子	148.278
369	002139.XSHE	拓邦股份	61.7542
370	002141.XSHE	贤丰控股	52.6481
371	002142.XSHE	宁波银行	1209.4333
372	002143.XSHE	ST印纪	53.272
373	002145.XSHE	中核钛白	81.4718
374	002146.XSHE	荣盛发展	510.4744
375	002147.XSHE	ST新光	59.4125
376	002148.XSHE	北纬科技	40.6547
377	002151.XSHE	北斗星通	137.8375
378	002152.XSHE	广电运通	170.5568
379	002153.XSHE	石基信息	332.7314
380	002155.XSHE	湖南黄金	101.0915
381	002156.XSHE	通富微电	116.9856
382	002157.XSHE	正邦科技	452.4494
383	002158.XSHE	汉钟精机	56.4173
384	002166.XSHE	莱茵生物	44.3403
385	002167.XSHE	东方锆业	53.7739
386	002168.XSHE	惠程科技	86.6245
387	002171.XSHE	楚江新材	79.618
388	002174.XSHE	游族网络	202.9261
389	002176.XSHE	江特电机	108.0104
390	002178.XSHE	延华智能	38.5275
391	002179.XSHE	中航光电	321.8339
392	002182.XSHE	云海金属	55.7216
393	002183.XSHE	怡亚通	134.3668
394	002185.XSHE	华天科技	118.0637
395	002191.XSHE	劲嘉股份	206.6932
396	002192.XSHE	融捷股份	78.5457
397	002195.XSHE	二三四五	271.9094
398	002196.XSHE	方正电机	31.4884
399	002197.XSHE	证通电子	46.5187
400	002198.XSHE	嘉应制药	50.9032
401	002202.XSHE	金风科技	524.589
402	002203.XSHE	海亮股份	185.255
403	002204.XSHE	大连重工	82.4695
404	002206.XSHE	海利得	60.4176
405	002210.XSHE	飞马国际	111.4041
406	002212.XSHE	南洋股份	183.2721
407	002215.XSHE	诺普信	67.4588
408	002216.XSHE	三全食品	63.2035
409	002218.XSHE	拓日新能	47.2283
410	002219.XSHE	恒康医疗	70.87899999999999
411	002220.XSHE	天宝食品	24.5274
412	002221.XSHE	东华能源	188.2402
413	002222.XSHE	福晶科技	55.6605
414	002223.XSHE	鱼跃医疗	252.2232
415	002224.XSHE	三力士	47.1909
416	002226.XSHE	江南化工	82.4328
417	002229.XSHE	鸿博股份	46.376999999999995
418	002230.XSHE	科大讯飞	726.3173
419	002232.XSHE	启明信息	40.4054
420	002233.XSHE	塔牌集团	150.3459
421	002234.XSHE	民和股份	90.6744
422	002235.XSHE	安妮股份	68.786
423	002236.XSHE	大华股份	505.0918
424	002237.XSHE	恒邦股份	97.959
425	002239.XSHE	奥特佳	82.3548
426	002240.XSHE	威华股份	52.7849
427	002241.XSHE	歌尔股份	318.3447
428	002242.XSHE	九阳股份	182.3606
429	002244.XSHE	滨江集团	172.9963
430	002245.XSHE	澳洋顺昌	56.6217
431	002246.XSHE	北化股份	53.6956
432	002247.XSHE	聚力文化	43.6496
433	002249.XSHE	大洋电机	139.6184
434	002250.XSHE	联化科技	87.3189
435	002251.XSHE	步步高	85.3537
436	002252.XSHE	上海莱士	473.584
437	002253.XSHE	川大智胜	37.4539
438	002254.XSHE	泰和新材	75.0714
439	002256.XSHE	兆新股份	76.4259
440	002258.XSHE	利尔化学	88.25200000000001
441	002261.XSHE	拓维信息	64.8352
442	002262.XSHE	恩华药业	127.094
443	002264.XSHE	新华都	46.4361
444	002266.XSHE	浙富控股	110.8083
445	002267.XSHE	陕天然气	93.8592
446	002268.XSHE	卫士通	264.3273
447	002271.XSHE	东方雨虹	296.7754
448	002273.XSHE	水晶光电	116.223
449	002275.XSHE	桂林三金	87.5267
450	002276.XSHE	万马股份	71.3452
451	002277.XSHE	友阿股份	57.8582
452	002279.XSHE	久其软件	63.5131
453	002280.XSHE	联络互动	105.374
454	002281.XSHE	光迅科技	196.783
455	002283.XSHE	天润曲轴	51.3037
456	002284.XSHE	亚太股份	44.7718
457	002285.XSHE	世联行	127.4814
458	002287.XSHE	奇正藏药	120.2166
459	002292.XSHE	奥飞娱乐	106.2656
460	002293.XSHE	罗莱生活	89.0203
461	002294.XSHE	信立泰	284.2025
462	002298.XSHE	中电兴发	56.7035
463	002299.XSHE	圣农发展	333.0484
464	002301.XSHE	齐心集团	71.8175
465	002302.XSHE	西部建设	186.576
466	002303.XSHE	美盈森	96.4734
467	002304.XSHE	洋河股份	1807.3307
468	002305.XSHE	南国置业	63.8191
469	002307.XSHE	北新路桥	79.5811
470	002308.XSHE	威创股份	55.9869
471	002309.XSHE	中利集团	81.7736
472	002310.XSHE	东方园林	210.8088
473	002311.XSHE	海大集团	442.1066
474	002313.XSHE	日海智能	80.8704
475	002314.XSHE	南山控股	102.3542
476	002317.XSHE	众生药业	84.4596
477	002318.XSHE	久立特材	72.2875
478	002320.XSHE	海峡股份	108.5738
479	002321.XSHE	华英农业	42.583
480	002322.XSHE	理工环科	65.0526
481	002326.XSHE	永太科技	79.4671
482	002327.XSHE	富安娜	78.6999
483	002329.XSHE	皇氏集团	39.3691
484	002330.XSHE	得利斯	30.9734
485	002332.XSHE	仙琚制药	70.64
486	002335.XSHE	科华恒盛	54.8722
487	002336.XSHE	人人乐	28.0
488	002340.XSHE	格林美	216.2632
489	002341.XSHE	新纶科技	123.6603
490	002343.XSHE	慈文传媒	48.0649
491	002344.XSHE	海宁皮城	73.1165
492	002345.XSHE	潮宏基	47.5342
493	002346.XSHE	柘中股份	64.9116
494	002349.XSHE	精华制药	60.4229
495	002351.XSHE	漫步者	37.9846
496	002352.XSHE	顺丰控股	1530.9502
497	002353.XSHE	杰瑞股份	238.3141
498	002354.XSHE	天神娱乐	52.6661
499	002355.XSHE	兴民智通	71.2876
500	002356.XSHE	赫美集团	59.0088
501	002358.XSHE	森源电气	133.0482
502	002359.XSHE	北讯集团	114.4813
503	002362.XSHE	汉王科技	38.4579
504	002364.XSHE	中恒电气	63.5701
505	002365.XSHE	永安药业	35.9807
506	002366.XSHE	台海核电	125.1164
507	002367.XSHE	康力电梯	71.7887
508	002368.XSHE	太极股份	149.0092
509	002370.XSHE	亚太药业	99.2515
510	002371.XSHE	北方华创	291.474
511	002372.XSHE	伟星新材	258.1216
512	002373.XSHE	千方科技	304.3123
513	002375.XSHE	亚厦股份	88.5738
514	002376.XSHE	新北洋	113.9034
515	002377.XSHE	国创高新	57.9118
516	002378.XSHE	章源钨业	61.641999999999996
517	002382.XSHE	蓝帆医疗	146.4363
518	002383.XSHE	合众思壮	101.416
519	002384.XSHE	东山精密	294.3241
520	002385.XSHE	大北农	251.6095
521	002387.XSHE	维信诺	166.5814
522	002388.XSHE	新亚制程	30.7298
523	002389.XSHE	航天彩虹	133.8679
524	002390.XSHE	信邦制药	95.3655
525	002393.XSHE	力生制药	51.58
526	002396.XSHE	星网锐捷	160.5771
527	002399.XSHE	海普瑞	310.4285
528	002400.XSHE	省广集团	69.0362
529	002401.XSHE	中远海科	36.9953
530	002402.XSHE	和而泰	87.5966
531	002407.XSHE	多氟多	110.1796
532	002408.XSHE	齐翔腾达	168.2898
533	002409.XSHE	雅克科技	81.2771
534	002410.XSHE	广联达	308.112
535	002411.XSHE	延安必康	298.1824
536	002413.XSHE	雷科防务	82.9736
537	002414.XSHE	高德红外	166.4267
538	002415.XSHE	海康威视	3180.3481
539	002416.XSHE	爱施德	80.3055
540	002418.XSHE	康盛股份	60.2292
541	002419.XSHE	天虹股份	178.8447
542	002421.XSHE	达实智能	88.07
543	002422.XSHE	科伦药业	433.3767
544	002424.XSHE	贵州百灵	167.2272
545	002425.XSHE	凯撒文化	58.5896
546	002426.XSHE	胜利精密	116.3233
547	002428.XSHE	云南锗业	47.09
548	002429.XSHE	兆驰股份	140.3352
549	002430.XSHE	杭氧股份	127.9065
550	002431.XSHE	棕榈股份	72.1188
551	002432.XSHE	九安医疗	29.9069
552	002433.XSHE	太安堂	47.3866
553	002434.XSHE	万里扬	109.74600000000001
554	002436.XSHE	兴森科技	79.6031
555	002437.XSHE	誉衡药业	107.9278
556	002439.XSHE	启明星辰	242.2863
557	002440.XSHE	闰土股份	178.3275
558	002443.XSHE	金洲管道	42.0593
559	002444.XSHE	巨星科技	128.5996
560	002446.XSHE	盛路通信	94.0995
561	002447.XSHE	晨鑫科技	58.3722
562	002448.XSHE	中原内配	40.6495
563	002449.XSHE	国星光电	95.431
564	002450.XSHE	ST康得新	220.5981
565	002451.XSHE	摩恩电气	64.3428
566	002453.XSHE	华软科技	40.5623
567	002456.XSHE	欧菲光	377.3598
568	002458.XSHE	益生股份	144.8772
569	002460.XSHE	赣锋锂业	367.3025
570	002461.XSHE	珠江啤酒	162.0156
571	002462.XSHE	嘉事堂	46.5478
572	002463.XSHE	沪电股份	202.7017
573	002464.XSHE	众应互联	47.3855
574	002465.XSHE	海格通信	230.6943
575	002466.XSHE	天齐锂业	391.4957
576	002467.XSHE	二六三	69.9583
577	002468.XSHE	申通快递	368.1579
578	002470.XSHE	金正大	231.3308
579	002474.XSHE	榕基软件	63.5266
580	002475.XSHE	立讯精密	1008.4926
581	002477.XSHE	雏鹰农牧	87.1574
582	002478.XSHE	常宝股份	62.7835
583	002481.XSHE	双塔食品	54.4605
584	002482.XSHE	广田集团	100.5381
585	002484.XSHE	江海股份	60.566
586	002485.XSHE	希努尔	51.6256
587	002488.XSHE	金固股份	103.9517
588	002489.XSHE	浙江永强	80.0671
589	002491.XSHE	通鼎互联	129.0569
590	002493.XSHE	荣盛石化	822.2478
591	002497.XSHE	雅化集团	76.32
592	002500.XSHE	山西证券	264.4858
593	002501.XSHE	利源精制	40.0896
594	002502.XSHE	骅威文化	41.7017
595	002503.XSHE	搜于特	99.8879
596	002505.XSHE	大康农业	121.7753
597	002506.XSHE	协鑫集成	374.8141
598	002507.XSHE	涪陵榨菜	225.0457
599	002508.XSHE	老板电器	302.5489
600	002509.XSHE	天广中茂	74.027
601	002510.XSHE	天汽模	47.7922
602	002511.XSHE	中顺洁柔	129.7224
603	002512.XSHE	达华智能	70.1047
604	002515.XSHE	金字火腿	59.2858
605	002516.XSHE	旷达科技	52.5837
606	002517.XSHE	恺英网络	94.7108
607	002518.XSHE	科士达	70.2429
608	002519.XSHE	银河电子	53.2802
609	002521.XSHE	齐峰新材	31.8578
610	002522.XSHE	浙江众成	63.4951
611	002530.XSHE	金财互联	97.2061
612	002531.XSHE	天顺风能	102.4715
613	002534.XSHE	杭锅股份	52.6447
614	002537.XSHE	海联金汇	159.6589
615	002538.XSHE	司尔特	46.3188
616	002539.XSHE	云图控股	57.1717
617	002540.XSHE	亚太科技	74.0719
618	002542.XSHE	中化岩土	99.2451
619	002543.XSHE	万和电气	84.94200000000001
620	002544.XSHE	杰赛科技	86.8159
621	002545.XSHE	东方铁塔	94.6673
622	002547.XSHE	春兴精工	98.705
623	002550.XSHE	千红制药	64.128
624	002551.XSHE	尚荣医疗	44.7552
625	002554.XSHE	惠博普	38.6562
626	002555.XSHE	三七互娱	280.4829
627	002556.XSHE	辉隆股份	45.9264
628	002557.XSHE	洽洽食品	114.075
629	002558.XSHE	巨人网络	399.815
630	002562.XSHE	兄弟科技	54.6801
631	002563.XSHE	森马服饰	315.3422
632	002564.XSHE	天沃科技	54.3875
633	002567.XSHE	唐人神	119.6296
634	002568.XSHE	百润股份	88.6783
635	002572.XSHE	索菲亚	209.6178
636	002573.XSHE	清新环境	101.5315
637	002574.XSHE	明牌珠宝	32.3664
638	002577.XSHE	雷柏科技	37.2553
639	002581.XSHE	未名医药	61.8832
640	002582.XSHE	好想你	54.1468
641	002583.XSHE	海能达	201.3594
642	002584.XSHE	西陇科学	43.4816
643	002585.XSHE	双星新材	77.7019
644	002586.XSHE	围海股份	65.564
645	002588.XSHE	史丹利	61.8933
646	002589.XSHE	瑞康医药	125.6433
647	002590.XSHE	万安科技	42.9284
648	002594.XSHE	比亚迪	1460.6477
649	002596.XSHE	海南瑞泽	124.7654
650	002597.XSHE	金禾实业	117.06200000000001
651	002601.XSHE	龙蟒佰利	356.4165
652	002602.XSHE	世纪华通	436.8329
653	002603.XSHE	以岭药业	160.0769
654	002605.XSHE	姚记扑克	43.5159
655	002609.XSHE	捷顺科技	51.8645
656	002610.XSHE	爱康科技	101.4541
657	002611.XSHE	东方精工	86.96799999999999
658	002614.XSHE	奥佳华	111.2306
659	002616.XSHE	长青集团	62.8375
660	002617.XSHE	露笑科技	73.5192
661	002618.XSHE	丹邦科技	92.2697
662	002619.XSHE	艾格拉斯	84.3118
663	002622.XSHE	融钰集团	42.924
664	002624.XSHE	完美世界	391.8103
665	002625.XSHE	光启技术	263.2906
666	002626.XSHE	金达威	93.0888
667	002630.XSHE	华西能源	46.0512
668	002631.XSHE	德尔未来	57.0358
