	名称	代码	市值（亿元）	涨跌幅	pe	pb	一级行业代码	一级行业名称	二级行业代码	二级行业名称	持有市值（元）	日盈亏	相关指数
25	美的集团	000333.XSHE	3828.1929	-1.69%	16.19	3.9	801110	家用电器I	801111	白色家电II	2772.99	-46.86	沪深300,基本面60,基本面120,中证红利
26	中国太保	601601.XSHG	3120.0466	-0.78%	11.06	1.83	801790	非银金融I	801194	保险II	2759.95	-21.53	上证50,沪深300,300价值,中证红利,养老产业,金融地产
27	三七互娱	002555.XSHE	464.4841	-2.73%	34.51	7.12	801760	传媒I	801752	互联网传媒II	2724.71	-74.38	沪深300,养老产业,中证传媒
28	伊利股份	600887.XSHG	1792.5548	-0.37%	25.53	7.36	801120	食品饮料I	801124	食品加工II	2714.47	-10.04	上证50,沪深300,中证红利,养老产业
29	万科A	000002.XSHE	3141.9958	-0.22%	8.26	1.88	801180	房地产I	801181	房地产开发II	2659.47	-5.85	沪深300,300价值,基本面60,基本面120,中证红利,金融地产
30	工商银行	601398.XSHG	20814.125	-0.17%	6.72	0.86	801780	银行I	801192	银行II	2636.01	-4.48	上证50,沪深300,300价值,中证红利,金融地产
31	云南白药	000538.XSHE	1152.2178	-4.42%	32.44	3.08	801150	医药生物I	801155	中药II	2612.97	-115.49	沪深300,基本面60,基本面120,养老产业,全指医药
32	华泰证券	601688.XSHG	1540.3075	0.29%	22.02	1.28	801790	非银金融I	801193	证券II	2572.04	7.46	上证50,沪深300,证券公司,金融地产
33	卫宁健康	300253.XSHE	249.4409	0.26%	65.02	6.85	801750	计算机I	801222	计算机应用II	2529.77	6.58	中证500,创业板,全指医药
34	网宿科技	300017.XSHE	211.8556	0.11%	21.96	2.25	801770	通信I	801102	通信设备II	2512.28	2.76	沪深300,创业板,养老产业,中证传媒
35	哈药股份	600664.XSHG	93.2611	0.54%	86.77	1.79	801150	医药生物I	801151	化学制药II	2509.24	13.55	中证500,中证红利,全指医药
36	民生银行	600016.XSHG	2696.9971	0.16%	5.07	0.61	801780	银行I	801192	银行II	2448.09	3.92	上证50,沪深300,300价值,中证红利,金融地产
37	长江电力	600900.XSHG	3986.3999	-0.17%	17.7	2.75	801160	公用事业I	801161	电力II	2411.08	-4.1	沪深300,300价值,中证红利,中证环保
38	智飞生物	300122.XSHE	716.32	-1.25%	33.67	13.93	801150	医药生物I	801152	生物制品II	2410.11	-30.13	沪深300,创业板,养老产业,全指医药
39	美年健康	002044.XSHE	587.2042	-2.87%	73.58	6.92	801150	医药生物I	801156	医疗服务II	2372.5	-68.09	沪深300,养老产业,全指医药
40	生物股份	600201.XSHG	213.5351	-0.37%	66.34	4.46	801010	农林牧渔I	801018	动物保健II	2351.87	-8.7	中证500,全指医药
41	广发证券	000776.XSHE	1012.8426	0.23%	17.46	1.11	801790	非银金融I	801193	证券II	2269.78	5.22	沪深300,300价值,基本面60,基本面120,中证红利,证券公司,金融地产
42	平安银行	000001.XSHE	3005.9768	-1.36%	10.74	1.12	801780	银行I	801192	银行II	2252.23	-30.63	沪深300,300价值,基本面60,基本面120,金融地产
43	中公教育	002607.XSHE	1112.5988	-0.28%	70.84	43.89	801760	传媒I	801761	文化传媒II	2250.92	-6.3	中证500,养老产业
44	华兰生物	002007.XSHE	475.0758	-2.69%	35.35	7.63	801150	医药生物I	801152	生物制品II	2247.16	-60.45	沪深300,养老产业,全指医药
45	完美世界	002624.XSHE	441.8441	-1.11%	23.7	4.63	801760	传媒I	801752	互联网传媒II	2213.43	-24.57	沪深300,养老产业,中证传媒
46	迈瑞医疗	300760.XSHE	2247.2053	-3.27%	50.01	12.76	801150	医药生物I	801153	医疗器械II	2192.75	-71.7	创业板,养老产业,全指医药
47	格力电器	000651.XSHE	3516.1946	-1.33%	12.93	3.49	801110	家用电器I	801111	白色家电II	2192.64	-29.16	沪深300,基本面60,基本面120
48	东方明珠	600637.XSHG	301.9264	0.23%	16.63	1.06	801760	传媒I	801761	文化传媒II	2172.77	5.0	沪深300,养老产业,中证传媒
49	江苏有线	600959.XSHG	193.0277	0.0%	39.03	0.89	801760	传媒I	801761	文化传媒II	2134.55	0.0	中证500,养老产业,中证传媒
50	华发股份	600325.XSHG	146.9647	0.43%	6.14	1.17	801180	房地产I	801181	房地产开发II	2083.91	8.96	中证500,中证红利,金融地产
51	保利地产	600048.XSHG	1718.078	0.28%	7.75	1.41	801180	房地产I	801181	房地产开发II	2074.82	5.81	上证50,沪深300,300价值,中证红利,金融地产
52	东山精密	002384.XSHE	304.9275	0.74%	29.84	3.35	801080	电子I	801083	元件II	2065.45	15.28	中证500,中证环保
53	片仔癀	600436.XSHG	614.0563	-2.16%	46.1	9.78	801150	医药生物I	801155	中药II	2058.77	-44.47	沪深300,养老产业,全指医药
54	泰格医药	300347.XSHE	473.0455	-2.76%	69.32	12.24	801150	医药生物I	801156	医疗服务II	2045.3	-56.45	中证1000,创业板,全指医药
55	先导智能	300450.XSHE	341.1197	-4.73%	41.06	8.86	801890	机械设备I	801074	专用设备II	2039.95	-96.49	中证500,创业板,中证环保
56	首开股份	600376.XSHG	196.3049	0.79%	5.31	0.82	801180	房地产I	801181	房地产开发II	2034.43	16.07	中证500,中证红利,金融地产
57	掌趣科技	300315.XSHE	147.8012	1.12%	-4.45	2.62	801760	传媒I	801752	互联网传媒II	1982.76	22.21	中证500,创业板,中证传媒
58	中国银行	601988.XSHG	10745.1543	-0.27%	5.76	0.66	801780	银行I	801192	银行II	1971.4	-5.32	上证50,沪深300,300价值,中证红利,金融地产
59	芒果超媒	300413.XSHE	550.1367	-0.97%	53.54	6.4	801760	传媒I	801752	互联网传媒II	1946.01	-18.88	沪深300,创业板,养老产业,中证传媒
60	中南传媒	601098.XSHG	208.5156	-0.34%	16.21	1.57	801760	传媒I	801761	文化传媒II	1942.21	-6.6	中证500,养老产业,中证传媒
61	闻泰科技	600745.XSHG	1030.2603	-3.64%	135.4	7.32	801080	电子I	801085	电子制造II	1932.94	-70.36	中证500
62	潍柴动力	000338.XSHE	1041.7177	0.15%	10.72	2.43	801880	汽车I	801093	汽车零部件II	1914.06	2.87	沪深300,300价值,基本面60,基本面120,中证红利
63	复星医药	600196.XSHG	657.8961	-2.06%	24.57	2.15	801150	医药生物I	801152	生物制品II	1912.47	-39.4	上证50,沪深300,养老产业,全指医药
64	浦发银行	600000.XSHG	3510.5088	0.17%	5.75	0.73	801780	银行I	801192	银行II	1908.58	3.24	上证50,沪深300,300价值,金融地产
65	中环股份	002129.XSHE	278.2371	0.4%	30.63	2.12	801730	电气设备I	801733	电源设备II	1886.09	7.54	中证500,中证环保
66	通策医疗	600763.XSHG	339.9105	-3.4%	74.48	19.64	801150	医药生物I	801156	医疗服务II	1883.75	-64.05	中证500,全指医药
67	光线传媒	300251.XSHE	290.4272	0.1%	147.22	3.1	801760	传媒I	801761	文化传媒II	1875.53	1.88	沪深300,创业板,养老产业,中证传媒
68	招商证券	600999.XSHG	1094.6835	0.55%	17.72	1.6	801790	非银金融I	801193	证券II	1872.61	10.3	沪深300,300价值,证券公司,金融地产
69	上汽集团	600104.XSHG	2691.8694	1.04%	9.24	1.1	801880	汽车I	801094	汽车整车II	1821.12	18.94	上证50,沪深300,300价值,中证红利
70	华东医药	000963.XSHE	435.8776	-1.12%	16.32	3.74	801150	医药生物I	801151	化学制药II	1815.7	-20.34	沪深300,基本面60,基本面120,养老产业,全指医药
71	中联重科	000157.XSHE	470.5385	-0.67%	11.21	1.24	801890	机械设备I	801074	专用设备II	1808.42	-12.12	沪深300,300价值,基本面60,基本面120,中证红利
72	沪电股份	002463.XSHE	368.0547	5.11%	35.44	7.71	801080	电子I	801083	元件II	1761.86	90.03	中证500
73	申万宏源	000166.XSHE	1186.8934	0.63%	21.17	1.45	801790	非银金融I	801193	证券II	1759.27	11.08	沪深300,基本面60,基本面120,证券公司,金融地产
74	凯莱英	002821.XSHE	290.1187	-1.89%	54.34	10.16	801150	医药生物I	801151	化学制药II	1748.67	-33.05	中证500,全指医药
75	中国长城	000066.XSHE	439.2273	-1.2%	45.96	7.02	801750	计算机I	801101	计算机设备II	1745.96	-20.95	基本面120,中证500
76	申能股份	600642.XSHG	291.7751	0.17%	12.97	1.01	801160	公用事业I	801161	电力II	1733.8	2.95	中证500,中证红利
77	宋城演艺	300144.XSHE	398.0145	-1.35%	28.23	4.01	801210	休闲服务I	801212	景点II	1728.45	-23.33	沪深300,创业板,养老产业
78	中国石化	600028.XSHG	6065.6675	-0.2%	13.08	0.84	801030	化工I	801035	石油化工II	1726.62	-3.45	上证50,沪深300,300价值,中证红利
79	通化东宝	600867.XSHG	299.8099	-9.91%	35.73	5.99	801150	医药生物I	801152	生物制品II	1719.54	-170.41	沪深300,养老产业,全指医药
80	中国人寿	601628.XSHG	9482.8086	-1.55%	19.26	2.49	801790	非银金融I	801194	保险II	1707.54	-26.47	上证50,沪深300,养老产业,金融地产
81	光大银行	601818.XSHG	2194.0535	-0.48%	5.88	0.71	801780	银行I	801192	银行II	1702.74	-8.17	上证50,沪深300,300价值,中证红利,金融地产
82	上海家化	600315.XSHG	201.5088	-1.07%	32.14	3.24	801030	化工I	801034	化学制品II	1700.01	-18.19	中证500,养老产业
83	宁波银行	002142.XSHE	1501.0754	0.22%	11.57	1.82	801780	银行I	801192	银行II	1670.48	3.68	沪深300,基本面60,基本面120,中证红利,金融地产
84	上海医药	601607.XSHG	502.1972	-0.4%	12.85	1.23	801150	医药生物I	801154	医药商业II	1669.8	-6.68	沪深300,养老产业,全指医药
85	中炬高新	600872.XSHG	370.9143	-3.5%	55.59	9.82	801120	食品饮料I	801124	食品加工II	1667.39	-58.36	中证500
86	金地集团	600383.XSHG	538.5898	0.34%	6.51	1.1	801180	房地产I	801181	房地产开发II	1650.84	5.61	沪深300,300价值,中证红利,金融地产
87	巨人网络	002558.XSHE	355.6836	0.0%	44.3	4.36	801760	传媒I	801752	互联网传媒II	1643.25	0.0	沪深300,养老产业,中证传媒
88	万达电影	002739.XSHE	296.3839	0.07%	161.19	1.52	801760	传媒I	801761	文化传媒II	1635.57	1.14	沪深300,基本面120,养老产业,中证传媒
89	伟星新材	002372.XSHE	187.6724	-0.17%	18.46	5.22	801710	建筑材料I	801713	其他建材II	1632.14	-2.77	中证500,中证红利,中证环保
90	三六零	601360.XSHG	1392.0426	0.19%	22.47	5.0	801750	计算机I	801222	计算机应用II	1621.53	3.08	沪深300,养老产业,中证传媒
91	华域汽车	600741.XSHG	819.0777	-0.77%	12.43	1.7	801880	汽车I	801093	汽车零部件II	1620.63	-12.48	沪深300,300价值,中证红利
92	双汇发展	000895.XSHE	1030.3052	-0.23%	19.81	6.78	801120	食品饮料I	801124	食品加工II	1618.5	-3.72	沪深300,300价值,基本面60,基本面120,中证红利
93	吉比特	603444.XSHG	215.9845	-2.8%	24.38	7.37	801760	传媒I	801752	互联网传媒II	1612.34	-45.15	中证500,中证传媒
94	中国国旅	601888.XSHG	1622.5072	-0.18%	35.39	8.33	801210	休闲服务I	801214	旅游综合II	1597.53	-2.88	上证50,沪深300,养老产业
95	建设银行	601939.XSHG	17850.7832	-0.28%	6.71	0.87	801780	银行I	801192	银行II	1595.65	-4.47	上证50,沪深300,300价值,中证红利,金融地产
96	欣旺达	300207.XSHE	279.5233	-3.71%	36.1	5.07	801080	电子I	801085	电子制造II	1593.66	-59.12	中证500,创业板,中证环保
97	顺鑫农业	000860.XSHE	379.7847	-2.73%	43.52	5.21	801120	食品饮料I	801123	饮料制造II	1588.23	-43.36	中证500
98	协鑫集成	002506.XSHE	309.4658	0.66%	292.81	7.18	801730	电气设备I	801733	电源设备II	1582.5	10.44	中证500,中证环保
99	蓝色光标	300058.XSHE	128.7867	0.58%	21.32	1.48	801760	传媒I	801751	营销传播II	1568.54	9.1	中证500,创业板,中证传媒
100	宇通客车	600066.XSHG	316.8147	-1.54%	13.04	1.99	801880	汽车I	801094	汽车整车II	1563.1	-24.07	沪深300,300价值,中证红利,中证环保
101	人民网	603000.XSHG	204.3317	0.0%	85.21	6.93	801760	传媒I	801752	互联网传媒II	1557.62	0.0	中证500,中证传媒
102	五粮液	000858.XSHE	5077.5312	-2.84%	30.9	7.31	801120	食品饮料I	801123	饮料制造II	1555.6	-44.18	沪深300,基本面60,基本面120
103	宁德时代	300750.XSHE	1930.3622	-0.23%	43.16	5.23	801730	电气设备I	801733	电源设备II	1551.17	-3.57	基本面60,基本面120,创业板,中证环保
104	涪陵榨菜	002507.XSHE	194.9712	-1.54%	29.7	7.0	801120	食品饮料I	801124	食品加工II	1544.27	-23.78	中证500,养老产业
105	方大特钢	600507.XSHG	131.7471	-1.54%	6.97	2.14	801040	钢铁I	801041	钢铁II	1543.07	-23.76	中证500,中证红利
106	依顿电子	603328.XSHG	96.6287	0.72%	15.66	2.77	801080	电子I	801083	元件II	1520.91	10.95	中证500,中证红利
107	海螺水泥	600585.XSHG	2490.1423	-2.83%	7.57	1.95	801710	建筑材料I	801711	水泥制造II	1516.26	-42.91	上证50,沪深300,300价值,中证红利
108	中国电影	600977.XSHG	262.3135	0.93%	24.5	2.22	801760	传媒I	801761	文化传媒II	1512.35	14.06	沪深300,养老产业,中证传媒
109	康力电梯	002367.XSHE	53.2034	0.3%	34.35	1.82	801890	机械设备I	801074	专用设备II	1510.02	4.53	中证1000,中证红利
110	国新健康	000503.XSHE	146.5979	4.41%	-66.41	13.82	801150	医药生物I	801156	医疗服务II	1507.59	66.48	养老产业,中证传媒
111	科伦药业	002422.XSHE	342.3811	-3.15%	31.02	2.56	801150	医药生物I	801151	化学制药II	1501.9	-47.31	沪深300,基本面120,养老产业,全指医药
112	龙蟒佰利	002601.XSHE	270.2588	-2.63%	11.35	1.99	801030	化工I	801034	化学制品II	1496.61	-39.36	沪深300,300价值,基本面60,基本面120,中证红利
113	四维图新	002405.XSHE	315.7607	0.12%	111.17	4.29	801750	计算机I	801222	计算机应用II	1496.31	1.8	中证500
114	格林美	002340.XSHE	170.135	-1.46%	20.85	1.65	801050	有色金属I	801051	金属非金属新材料II	1483.94	-21.67	中证500,中证环保
115	吉林敖东	000623.XSHE	178.5255	0.46%	14.89	0.83	801150	医药生物I	801151	化学制药II	1465.7	6.74	基本面120,中证500,全指医药
116	紫光国微	002049.XSHE	269.7306	-0.02%	63.42	6.5	801080	电子I	801081	半导体II	1455.45	-0.29	中证500
117	国海证券	000750.XSHE	193.0718	0.66%	36.61	1.37	801790	非银金融I	801193	证券II	1446.51	9.55	中证500,证券公司,金融地产
118	白云山	600332.XSHG	540.4129	-0.18%	17.1	2.24	801150	医药生物I	801155	中药II	1429.53	-2.57	沪深300,养老产业,全指医药
119	首旅酒店	600258.XSHG	174.9257	0.17%	22.58	1.99	801210	休闲服务I	801213	酒店II	1424.11	2.42	中证500,养老产业
120	南京银行	601009.XSHG	704.0233	-0.48%	5.68	0.94	801780	银行I	801192	银行II	1421.36	-6.82	沪深300,300价值,中证红利,金融地产
121	晶盛机电	300316.XSHE	175.5897	-1.39%	28.87	4.01	801730	电气设备I	801733	电源设备II	1419.65	-19.73	中证500,创业板,中证环保
122	第一创业	002797.XSHE	248.6704	1.27%	72.0	2.8	801790	非银金融I	801193	证券II	1412.5	17.94	中证500,证券公司,金融地产
123	阳光电源	300274.XSHE	147.0201	1.09%	19.43	1.77	801730	电气设备I	801733	电源设备II	1385.52	15.1	中证500,创业板,中证环保
124	东方证券	600958.XSHG	676.9859	0.31%	32.73	1.27	801790	非银金融I	801193	证券II	1383.1	4.29	沪深300,证券公司,金融地产
125	天坛生物	600161.XSHG	276.6041	-0.26%	47.71	7.29	801150	医药生物I	801152	生物制品II	1381.72	-3.59	中证500,全指医药
126	华大基因	300676.XSHE	240.02	-1.5%	71.32	5.38	801150	医药生物I	801153	医疗器械II	1380.3	-20.7	创业板,养老产业,全指医药
127	川投能源	600674.XSHG	420.4044	-0.1%	12.26	1.61	801160	公用事业I	801161	电力II	1379.87	-1.38	沪深300,300价值,中证红利,中证环保
128	中国软件	600536.XSHG	332.7418	0.89%	323.7	17.28	801750	计算机I	801222	计算机应用II	1376.3	12.25	中证500
129	同仁堂	600085.XSHG	368.3769	-0.74%	32.47	3.76	801150	医药生物I	801155	中药II	1373.95	-10.17	沪深300,养老产业,全指医药
130	康泰生物	300601.XSHE	509.9826	-4.8%	104.01	20.83	801150	医药生物I	801152	生物制品II	1361.57	-65.36	创业板,全指医药
131	正邦科技	002157.XSHE	362.8406	-1.28%	174.02	4.8	801010	农林牧渔I	801014	饲料II	1345.65	-17.22	中证500
132	东阿阿胶	000423.XSHE	221.7133	-1.18%	20.75	2.09	801150	医药生物I	801155	中药II	1344.96	-15.87	沪深300,基本面120,养老产业,全指医药
133	华谊兄弟	300027.XSHE	121.8601	0.69%	-5.88	1.53	801760	传媒I	801761	文化传媒II	1343.75	9.27	中证500,创业板,中证传媒
134	山西证券	002500.XSHE	209.0428	0.54%	34.06	1.65	801790	非银金融I	801193	证券II	1332.42	7.2	中证500,证券公司,金融地产
135	中国建筑	601668.XSHG	2161.7449	-0.39%	5.28	0.89	801720	建筑装饰I	801721	房屋建设II	1326.17	-5.17	上证50,沪深300,300价值,中证红利
136	上海莱士	002252.XSHE	352.7007	0.28%	92.73	3.08	801150	医药生物I	801152	生物制品II	1318.22	3.69	沪深300,养老产业,全指医药
137	三钢闽光	002110.XSHE	208.6291	-1.18%	5.02	1.17	801040	钢铁I	801041	钢铁II	1314.69	-15.51	基本面60,基本面120,中证500,中证红利
138	泸州老窖	000568.XSHE	1237.7158	-2.91%	27.32	6.67	801120	食品饮料I	801123	饮料制造II	1312.66	-38.2	沪深300,基本面60,基本面120,中证红利
139	TCL集团	000100.XSHE	505.9636	2.94%	14.23	1.66	801080	电子I	801084	光学光电子II	1305.31	38.38	沪深300,300价值,基本面60,基本面120,养老产业
140	桃李面包	603866.XSHG	287.6654	-3.39%	42.15	8.33	801120	食品饮料I	801124	食品加工II	1300.07	-44.07	中证500,养老产业
141	星徽精密	300464.XSHE	45.1643	-0.7%	49.5	2.59	801890	机械设备I	801072	通用机械II	1295.38	-9.07	养老产业
142	康恩贝	600572.XSHG	165.3739	0.16%	32.85	3.05	801150	医药生物I	801155	中药II	1295.03	2.07	中证500,全指医药
143	鱼跃医疗	002223.XSHE	195.2825	-0.26%	24.05	3.22	801150	医药生物I	801153	医疗器械II	1276.79	-3.32	中证500,全指医药
144	韦尔股份	603501.XSHG	1086.9188	-2.03%	4107.93	14.23	801080	电子I	801081	半导体II	1276.71	-25.92	中证500
145	利欧股份	002131.XSHE	135.6833	4.41%	-7.53	1.68	801760	传媒I	801751	营销传播II	1273.81	56.18	中证500,中证传媒
146	益丰药房	603939.XSHG	290.5957	-0.8%	55.25	6.55	801150	医药生物I	801154	医药商业II	1261.71	-10.09	中证500,全指医药
147	华西证券	002926.XSHE	245.7	0.75%	21.14	1.27	801790	非银金融I	801193	证券II	1259.8	9.45	中证500,证券公司,金融地产
148	长安汽车	000625.XSHE	399.1001	2.17%	-12.69	0.92	801880	汽车I	801094	汽车整车II	1254.87	27.23	沪深300,300价值,基本面60,基本面120,中证红利
149	新华保险	601336.XSHG	1387.8864	-0.43%	10.5	1.74	801790	非银金融I	801194	保险II	1253.09	-5.39	上证50,沪深300,养老产业,金融地产
150	天士力	600535.XSHG	227.6563	1.59%	17.4	2.05	801150	医药生物I	801155	中药II	1250.04	19.88	沪深300,养老产业,全指医药
151	顺网科技	300113.XSHE	145.6615	3.29%	62.75	5.29	801760	传媒I	801752	互联网传媒II	1244.24	40.94	中证500,创业板,中证传媒
152	国信证券	002736.XSHE	924.96	0.35%	17.7	1.85	801790	非银金融I	801193	证券II	1241.06	4.34	沪深300,基本面60,基本面120,证券公司,金融地产
153	华海药业	600521.XSHG	246.7544	-2.25%	67.8	4.44	801150	医药生物I	801151	化学制药II	1227.79	-27.63	中证500,全指医药
154	承德露露	000848.XSHE	73.5879	0.13%	17.29	3.89	801120	食品饮料I	801123	饮料制造II	1225.95	1.59	中证500,中证红利
155	汇川技术	300124.XSHE	440.4206	-0.49%	43.23	6.53	801730	电气设备I	801732	电气自动化设备II	1222.46	-5.99	沪深300,创业板,中证环保
156	昆仑万维	300418.XSHE	163.0004	-0.49%	13.45	3.67	801760	传媒I	801752	互联网传媒II	1220.01	-5.98	中证500,创业板,中证传媒
157	歌华有线	600037.XSHG	118.7187	-0.35%	19.15	0.89	801760	传媒I	801761	文化传媒II	1214.59	-4.25	中证500,中证传媒
158	江苏租赁	600901.XSHG	178.0043	0.84%	11.85	1.53	801790	非银金融I	801191	多元金融II	1210.97	10.17	中证500,养老产业,金融地产
159	长电科技	600584.XSHG	336.9242	-2.05%	-29.59	2.74	801080	电子I	801081	半导体II	1205.22	-24.71	中证500
160	梅花生物	600873.XSHG	128.5176	0.0%	11.4	1.45	801010	农林牧渔I	801012	农产品加工II	1202.07	0.0	中证1000,中证红利
161	华鲁恒升	600426.XSHG	275.2308	-1.0%	11.48	2.01	801030	化工I	801034	化学制品II	1195.0	-11.95	中证500
162	兴业证券	601377.XSHG	411.1756	0.33%	35.4	1.2	801790	非银金融I	801193	证券II	1191.73	3.93	沪深300,300价值,证券公司,金融地产
163	安科生物	300009.XSHE	160.6989	-2.55%	55.7	5.81	801150	医药生物I	801152	生物制品II	1190.79	-30.37	中证500,创业板,全指医药
164	荣盛发展	002146.XSHE	375.6814	0.0%	4.31	1.02	801180	房地产I	801181	房地产开发II	1179.91	0.0	沪深300,300价值,基本面60,基本面120,中证红利,金融地产
165	常宝股份	002478.XSHE	55.1036	0.17%	8.82	1.26	801040	钢铁I	801041	钢铁II	1176.14	2.0	中证红利
166	人福医药	600079.XSHG	175.8462	-1.46%	-7.78	1.8	801150	医药生物I	801151	化学制药II	1171.86	-17.11	中证500,全指医药
167	晨鸣纸业	000488.XSHE	137.388	0.0%	12.53	0.81	801140	轻工制造I	801143	造纸II	1170.09	0.0	基本面120,中证500,中证红利
168	锦江酒店	600754.XSHG	227.9889	0.46%	21.04	1.75	801210	休闲服务I	801213	酒店II	1168.51	5.38	中证500,养老产业
169	视觉中国	000681.XSHE	139.555	-0.85%	44.17	4.53	801760	传媒I	801752	互联网传媒II	1167.87	-9.93	中证500,中证传媒
170	亿纬锂能	300014.XSHE	436.9851	-0.38%	32.35	6.08	801080	电子I	801082	其他电子II	1161.56	-4.41	中证1000,创业板,中证环保
171	国投电力	600886.XSHG	572.0618	-0.95%	11.21	1.59	801160	公用事业I	801161	电力II	1160.93	-11.03	沪深300,300价值,中证红利,中证环保
172	东北证券	000686.XSHE	182.3213	0.51%	20.3	1.18	801790	非银金融I	801193	证券II	1160.26	5.92	中证500,证券公司,金融地产
173	辽宁成大	600739.XSHG	223.4906	-1.78%	20.11	1.04	801150	医药生物I	801152	生物制品II	1154.15	-20.54	中证500
174	正泰电器	601877.XSHG	513.7161	0.34%	14.01	2.2	801730	电气设备I	801734	高低压设备II	1153.63	3.92	沪深300,300价值,中证红利,中证环保
175	华润三九	000999.XSHE	292.8869	-2.01%	12.8	2.36	801150	医药生物I	801155	中药II	1149.32	-23.1	基本面120,中证500,全指医药
176	华安证券	600909.XSHG	215.4495	0.67%	20.14	1.65	801790	非银金融I	801193	证券II	1148.8	7.7	中证500,证券公司,金融地产
177	宝钢股份	600019.XSHG	1225.0953	-0.55%	8.34	0.7	801040	钢铁I	801041	钢铁II	1148.74	-6.32	上证50,沪深300,300价值,中证红利
178	老板电器	002508.XSHE	282.9041	-0.37%	18.28	4.44	801110	家用电器I	801111	白色家电II	1144.01	-4.23	沪深300,养老产业
